CÓD. DEP.,DEPARTAMENTO,CÓD. MUN.,MUNICIPIO,GRUPO DE CULTIVO,SUBGRUPO DE CULTIVO,CULTIVO,DESAGREGACIÓN REGIONAL Y/O SISTEMA PRODUCTIVO,CÓDIGO CULTIVO,NOMBRE CIENTIFICO,PERIODO,Área Sembrada(ha),Área Cosechada(ha),Producción(t),Rendimiento(t/ha),ESTADO FISICO PRODUCCION
5,ANTIOQUIA,"5,051",ARBOLETES,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,"4,800","4,650","11,625",2.5,GRANO SECO
5,ANTIOQUIA,"5,101",CIUDAD BOLIVAR,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,450,450,"1,350",3,GRANO SECO
5,ANTIOQUIA,"5,842",URAMITA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,405,180,630,3.5,GRANO SECO
5,ANTIOQUIA,"5,380",LA ESTRELLA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,3,3,12,4,GRANO SECO
13,BOLIVAR,"13,442",MARIA LA BAJA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,"2,030","2,030","7,105",3.5,GRANO SECO
13,BOLIVAR,"13,473",MORALES,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,800,700,"1,750",2.5,GRANO SECO
13,BOLIVAR,"13,006",ACHI,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,500,210,527,2.5,GRANO SECO
13,BOLIVAR,"13,580",REGIDOR,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,120,100,250,2.5,GRANO SECO
17,CALDAS,"17,380",LA DORADA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,200,200,700,3.5,GRANO SECO
17,CALDAS,"17,877",VITERBO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,180,180,"1,080",6,GRANO SECO
17,CALDAS,"17,513",PACORA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,172,172,571,3.3,GRANO SECO
17,CALDAS,"17,001",MANIZALES,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,110,110,340,3.1,GRANO SECO
17,CALDAS,"17,873",VILLAMARIA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,69,69,260,3.8,GRANO SECO
17,CALDAS,"17,050",ARANZAZU,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,50,45,193,4.3,GRANO SECO
17,CALDAS,"17,272",FILADELFIA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,47,47,282,6,GRANO SECO
17,CALDAS,"17,388",LA MERCED,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,33,33,110,3.3,GRANO SECO
17,CALDAS,"17,088",BELALCAZAR,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,30,30,135,4.5,GRANO SECO
17,CALDAS,"17,665",SAN JOSE,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,25,25,110,4.4,GRANO SECO
17,CALDAS,"17,174",CHINCHINA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,11,11,60,5.4,GRANO SECO
85,CASANARE,"85,263",PORE,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,48,48,240,5,GRANO SECO
85,CASANARE,"85,250",PAZ DE ARIPORO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,39,39,183,4.7,GRANO SECO
85,CASANARE,"85,125",HATO COROZAL,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,34,34,156,4.6,GRANO SECO
85,CASANARE,"85,300",SABANALARGA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,11,11,61,5.5,GRANO SECO
19,CAUCA,"19,300",GUACHENE,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,350,330,825,2.5,GRANO SECO
19,CAUCA,"19,256",EL TAMBO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,280,275,820,3,GRANO SECO
19,CAUCA,"19,532",PATIA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,130,130,520,4,GRANO SECO
19,CAUCA,"19,142",CALOTO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,108,107,368,3.4,GRANO SECO
19,CAUCA,"19,807",TIMBIO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,80,59,258,4.4,GRANO SECO
19,CAUCA,"19,698",SANTANDER DE QUILICHAO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,80,80,320,4,GRANO SECO
19,CAUCA,"19,473",MORALES,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,70,70,350,5,GRANO SECO
19,CAUCA,"19,573",PUERTO TEJADA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,62,62,186,3,GRANO SECO
19,CAUCA,"19,100",BOLIVAR,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,43,43,108,2.5,GRANO SECO
19,CAUCA,"19,455",MIRANDA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,35,30,120,4,GRANO SECO
19,CAUCA,"19,845",VILLA RICA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,17,17,74,4.4,GRANO SECO
20,CESAR,"20,228",CURUMANI,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,750,750,"2,250",3,GRANO SECO
20,CESAR,"20,550",PELAYA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,600,580,"2,900",5,GRANO SECO
20,CESAR,"20,383",LA GLORIA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,550,550,"2,200",4,GRANO SECO
20,CESAR,"20,250",EL PASO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,462,462,"1,386",3,GRANO SECO
20,CESAR,"20,011",AGUACHICA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,250,250,875,3.5,GRANO SECO
20,CESAR,"20,517",PAILITAS,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,250,250,"1,000",4,GRANO SECO
20,CESAR,"20,770",SAN MARTIN,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,170,170,850,5,GRANO SECO
20,CESAR,"20,295",GAMARRA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,150,150,525,3.5,GRANO SECO
20,CESAR,"20,400",LA JAGUA DE IBIRICO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,64,64,229,3.6,GRANO SECO
23,CORDOBA,"23,001",MONTERIA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,"1,420","1,420","6,390",4.5,GRANO SECO
23,CORDOBA,"23,168",CHIMA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,"1,395","1,384","7,892",5.7,GRANO SECO
23,CORDOBA,"23,678",SAN CARLOS,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,683,683,"3,415",5,GRANO SECO
23,CORDOBA,"23,189",CIENAGA DE ORO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,580,500,"2,036",4.1,GRANO SECO
23,CORDOBA,"23,660",SAHAGUN,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,525,497,"1,241",2.5,GRANO SECO
23,CORDOBA,"23,300",COTORRA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,500,490,"1,815",3.7,GRANO SECO
23,CORDOBA,"23,807",TIERRALTA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,480,460,"2,070",4.5,GRANO SECO
23,CORDOBA,"23,670",SAN ANDRES DE SOTAVENTO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,420,420,"1,280",3,GRANO SECO
23,CORDOBA,"23,090",CANALETE,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,280,280,679,2.4,GRANO SECO
23,CORDOBA,"23,162",CERETE,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,200,200,720,3.6,GRANO SECO
23,CORDOBA,"23,855",VALENCIA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,172,172,579,3.4,GRANO SECO
23,CORDOBA,"23,417",LORICA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,150,150,465,3.1,GRANO SECO
23,CORDOBA,"23,686",SAN PELAYO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,120,105,420,4,GRANO SECO
23,CORDOBA,"23,570",PUEBLO NUEVO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,60,60,210,3.5,GRANO SECO
23,CORDOBA,"23,580",PUERTO LIBERTADOR,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,30,30,96,3.2,GRANO SECO
41,HUILA,"41,551",PITALITO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,900,900,"3,550",3.9,GRANO SECO
41,HUILA,"41,298",GARZON,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,745,745,"2,814",3.8,GRANO SECO
41,HUILA,"41,396",LA PLATA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,610,610,"2,257",3.7,GRANO SECO
41,HUILA,"41,306",GIGANTE,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,550,550,"1,950",3.5,GRANO SECO
41,HUILA,"41,006",ACEVEDO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,362,362,"1,376",3.8,GRANO SECO
41,HUILA,"41,668",SAN AGUSTIN,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,360,360,"1,128",3.1,GRANO SECO
41,HUILA,"41,807",TIMANA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,180,180,630,3.5,GRANO SECO
41,HUILA,"41,013",AGRADO,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,170,170,561,3.3,GRANO SECO
41,HUILA,"41,001",NEIVA,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,150,150,540,3.6,GRANO SECO
41,HUILA,"41,020",ALGECIRAS,CEREALES,MAIZ,MAIZ,MAIZ TECNIFICADO,"111,030,920,256",ZEA MAYS,2006B,150,150,645,4.3,GRANO SECO
