CÓD. DEP.,DEPARTAMENTO,CÓD. MUN.,MUNICIPIO,GRUPO DE CULTIVO,SUBGRUPO DE CULTIVO,CULTIVO,DESAGREGACIÓN REGIONAL Y/O SISTEMA PRODUCTIVO,CÓDIGO CULTIVO,NOMBRE CIENTIFICO,PERIODO,Área Sembrada(ha),Área Cosechada(ha),Producción(t),Rendimiento(t/ha),ESTADO FISICO PRODUCCION
17,CALDAS,17877,VITERBO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,18,18,39,2.2,GRANO SECO
85,CASANARE,85440,VILLANUEVA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,400,400,600,1.5,GRANO SECO
85,CASANARE,85225,NUNCHIA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,80,80,120,1.5,GRANO SECO
19,CAUCA,19513,PADILLA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,8,8,24,3,GRANO SECO
19,CAUCA,19845,VILLA RICA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,7,7,21,3,GRANO SECO
50,META,50001,VILLAVICENCIO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,"13,200","13,200","23,760",1.8,GRANO SECO
50,META,50573,PUERTO LOPEZ,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,"3,930","3,930","7,860",2,GRANO SECO
50,META,50124,CABUYARO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,810,810,"1,377",1.7,GRANO SECO
50,META,50287,FUENTE DE ORO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,470,470,799,1.7,GRANO SECO
50,META,50226,CUMARAL,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,450,450,720,1.6,GRANO SECO
50,META,50313,GRANADA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,450,450,720,1.6,GRANO SECO
50,META,50400,LEJANIAS,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,370,370,592,1.6,GRANO SECO
50,META,50680,SAN CARLOS DE GUAROA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,350,350,525,1.5,GRANO SECO
50,META,50006,ACACIAS,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,230,230,368,1.6,GRANO SECO
50,META,50110,BARRANCA DE UPIA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,210,210,252,1.2,GRANO SECO
50,META,50606,RESTREPO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,210,210,294,1.4,GRANO SECO
63,QUINDIO,63401,LA TEBAIDA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,15,15,37,2.5,GRANO SECO
63,QUINDIO,63548,PIJAO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,5,5,13,2.5,GRANO SECO
76,VALLE DEL CAUCA,76497,OBANDO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,"1,002","1,002","2,505",2.5,GRANO SECO
76,VALLE DEL CAUCA,76147,CARTAGO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,661,661,"1,322",2,GRANO SECO
76,VALLE DEL CAUCA,76895,ZARZAL,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,197,197,394,2,GRANO SECO
76,VALLE DEL CAUCA,76111,BUGA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,155,155,465,3,GRANO SECO
76,VALLE DEL CAUCA,76113,BUGALAGRANDE,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,150,150,375,2.5,GRANO SECO
76,VALLE DEL CAUCA,76823,TORO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,140,140,448,3.2,GRANO SECO
76,VALLE DEL CAUCA,76306,GINEBRA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,113,113,260,2.3,GRANO SECO
76,VALLE DEL CAUCA,76403,LA VICTORIA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,93,93,195,2.1,GRANO SECO
76,VALLE DEL CAUCA,76122,CAICEDONIA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,75,75,165,2.2,GRANO SECO
76,VALLE DEL CAUCA,76036,ANDALUCIA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,31,31,120,3.9,GRANO SECO
76,VALLE DEL CAUCA,76520,PALMIRA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,22,22,56,2.5,GRANO SECO
76,VALLE DEL CAUCA,76400,LA UNION,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,22,22,59,2.7,GRANO SECO
76,VALLE DEL CAUCA,76670,SAN PEDRO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,20,20,30,1.5,GRANO SECO
76,VALLE DEL CAUCA,76364,JAMUNDI,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,20,20,36,1.8,GRANO SECO
76,VALLE DEL CAUCA,76563,PRADERA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2006B,10,10,25,2.5,GRANO SECO
19,CAUCA,19845,VILLA RICA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007A,7,7,21,3,GRANO SECO
19,CAUCA,19513,PADILLA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007A,6,5,15,3,GRANO SECO
19,CAUCA,19300,GUACHENE,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007A,5,5,14,2.5,GRANO SECO
19,CAUCA,19573,PUERTO TEJADA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007A,4,4,9,2.5,GRANO SECO
50,META,50573,PUERTO LOPEZ,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007A,"2,369","2,369","4,738",2,GRANO SECO
76,VALLE DEL CAUCA,76497,OBANDO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007A,"1,100","1,100","2,750",2.5,GRANO SECO
76,VALLE DEL CAUCA,76147,CARTAGO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007A,792,792,"1,584",2,GRANO SECO
76,VALLE DEL CAUCA,76895,ZARZAL,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007A,187,187,374,2,GRANO SECO
76,VALLE DEL CAUCA,76306,GINEBRA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007A,170,170,391,2.3,GRANO SECO
76,VALLE DEL CAUCA,76111,BUGA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007A,136,136,381,2.8,GRANO SECO
76,VALLE DEL CAUCA,76122,CAICEDONIA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007A,113,113,249,2.2,GRANO SECO
76,VALLE DEL CAUCA,76403,LA VICTORIA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007A,100,100,210,2.1,GRANO SECO
76,VALLE DEL CAUCA,76670,SAN PEDRO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007A,25,25,38,1.5,GRANO SECO
76,VALLE DEL CAUCA,76400,LA UNION,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007A,21,21,65,3.1,GRANO SECO
76,VALLE DEL CAUCA,76520,PALMIRA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007A,20,20,50,2.5,GRANO SECO
76,VALLE DEL CAUCA,76036,ANDALUCIA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007A,20,20,74,3.7,GRANO SECO
76,VALLE DEL CAUCA,76364,JAMUNDI,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007A,15,15,27,1.8,GRANO SECO
76,VALLE DEL CAUCA,76563,PRADERA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007A,10,10,25,2.5,GRANO SECO
76,VALLE DEL CAUCA,76823,TORO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007A,10,10,45,4.5,GRANO SECO
76,VALLE DEL CAUCA,76275,FLORIDA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007A,2,2,9,4.5,GRANO SECO
8,ATLANTICO,8436,MANATI,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,99,25,50,2,GRANO SECO
17,CALDAS,17877,VITERBO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,19,19,46,2.4,GRANO SECO
85,CASANARE,85440,VILLANUEVA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,400,400,800,2,GRANO SECO
85,CASANARE,85225,NUNCHIA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,80,80,120,1.5,GRANO SECO
19,CAUCA,19845,VILLA RICA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,4,3,8,2.7,GRANO SECO
19,CAUCA,19513,PADILLA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,4,4,10,2.5,GRANO SECO
19,CAUCA,19573,PUERTO TEJADA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,2,2,7,3.4,GRANO SECO
50,META,50001,VILLAVICENCIO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,"7,540","7,540","13,572",1.8,GRANO SECO
50,META,50573,PUERTO LOPEZ,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,"5,056","5,056","11,629",2.3,GRANO SECO
50,META,50568,PUERTO GAITAN,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,"1,300","1,300","3,250",2.5,GRANO SECO
50,META,50287,FUENTE DE ORO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,800,800,"1,600",2,GRANO SECO
50,META,50680,SAN CARLOS DE GUAROA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,772,771,"1,157",1.5,GRANO SECO
50,META,50124,CABUYARO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,542,542,921,1.7,GRANO SECO
50,META,50313,GRANADA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,438,438,701,1.6,GRANO SECO
50,META,50110,BARRANCA DE UPIA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,350,350,630,1.8,GRANO SECO
50,META,50606,RESTREPO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,255,255,357,1.4,GRANO SECO
50,META,50226,CUMARAL,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,144,143,230,1.6,GRANO SECO
50,META,50006,ACACIAS,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,142,141,227,1.6,GRANO SECO
50,META,50400,LEJANIAS,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,97,96,154,1.6,GRANO SECO
50,META,50251,EL CASTILLO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,15,15,24,1.6,GRANO SECO
50,META,50577,PUERTO LLERAS,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,10,10,18,1.8,GRANO SECO
76,VALLE DEL CAUCA,76497,OBANDO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,990,990,"2,376",2.4,GRANO SECO
76,VALLE DEL CAUCA,76147,CARTAGO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,434,434,930,2.1,GRANO SECO
76,VALLE DEL CAUCA,76306,GINEBRA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,180,175,438,2.5,GRANO SECO
76,VALLE DEL CAUCA,76895,ZARZAL,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,178,178,356,2,GRANO SECO
76,VALLE DEL CAUCA,76111,BUGA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,167,160,400,2.5,GRANO SECO
76,VALLE DEL CAUCA,76403,LA VICTORIA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,130,126,316,2.5,GRANO SECO
76,VALLE DEL CAUCA,76122,CAICEDONIA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,96,96,211,2.2,GRANO SECO
76,VALLE DEL CAUCA,76113,BUGALAGRANDE,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,75,74,185,2.5,GRANO SECO
76,VALLE DEL CAUCA,76622,ROLDANILLO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,35,35,70,2,GRANO SECO
76,VALLE DEL CAUCA,76364,JAMUNDI,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,25,25,48,1.9,GRANO SECO
76,VALLE DEL CAUCA,76036,ANDALUCIA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,25,25,98,3.9,GRANO SECO
76,VALLE DEL CAUCA,76670,SAN PEDRO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,20,19,31,1.6,GRANO SECO
76,VALLE DEL CAUCA,76400,LA UNION,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,20,20,50,2.5,GRANO SECO
76,VALLE DEL CAUCA,76520,PALMIRA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,20,20,52,2.6,GRANO SECO
76,VALLE DEL CAUCA,76823,TORO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,11,10,33,3.3,GRANO SECO
76,VALLE DEL CAUCA,76563,PRADERA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2007B,10,10,25,2.5,GRANO SECO
8,ATLANTICO,8436,MANATI,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2008A,28,25,70,2.8,GRANO SECO
19,CAUCA,19300,GUACHENE,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2008A,80,40,100,2.5,GRANO SECO
19,CAUCA,19573,PUERTO TEJADA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2008A,22,22,70,3.2,GRANO SECO
19,CAUCA,19513,PADILLA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2008A,5,4,8,2,GRANO SECO
19,CAUCA,19845,VILLA RICA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2008A,4,4,11,2.8,GRANO SECO
50,META,50568,PUERTO GAITAN,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2008A,"2,000","2,000","5,000",2.5,GRANO SECO
50,META,50573,PUERTO LOPEZ,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2008A,"1,250","1,250","2,875",2.3,GRANO SECO
63,QUINDIO,63272,FILANDIA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2008A,1,1,1,2,GRANO SECO
76,VALLE DEL CAUCA,76497,OBANDO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2008A,"1,000","1,000","2,400",2.4,GRANO SECO
76,VALLE DEL CAUCA,76147,CARTAGO,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2008A,679,625,"1,525",2.4,GRANO SECO
76,VALLE DEL CAUCA,76306,GINEBRA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2008A,170,170,391,2.3,GRANO SECO
76,VALLE DEL CAUCA,76403,LA VICTORIA,LEGUMINOSAS,SOYA,SOYA,SOYA,"111,031,450,475",GLYCINE MAX ,2008A,160,151,423,2.8,GRANO SECO
