Fecha de la Plenaria,Nombre del Senador,Resultado
01/26/2017,Vega  de Plazas Ruby Thania,Si
01/26/2017,Andrade Serrano Hernán Francisco,Si
01/26/2017,Asthon Giraldo Álvaro Antonio,No
01/26/2017,Benedetti Villaneda Armando Alberto,No
01/26/2017,Celis Carrillo Bernabé,Si
01/26/2017,Cepeda Sarabia Efraín José,Si
01/26/2017,Corzo Román Juan Manuel,Si
01/26/2017,Char Chaljub Arturo,No
01/26/2017,Duque Garcia Luis Fernando,No
01/26/2017,Enríquez Maya Carlos Eduardo,No
01/26/2017,Enríquez Rosero Manuel Mesías,Si
01/26/2017,Galán Pachón Juan Manuel,No
01/26/2017,Galvis Méndez Daira,Si
01/26/2017,García Realpe Guillermo,No
01/26/2017,Gerlein Echeverría Roberto,Si
01/26/2017,Guerra de la Espriella Antonio del Cristo,No
01/26/2017,López Maya Alexánder,No
01/26/2017,Mora Jaramillo Manuel Guillermo,No
01/26/2017,Name Cardozo José David,Si
01/26/2017,Pedraza Gutiérrez Jorge Hernando,Si
01/26/2017,Restrepo Escobar Juan Carlos,No
01/26/2017,Robledo Castillo Jorge Enrique,Si
01/26/2017,Rodríguez Sarmiento Milton Arlex,Si
01/26/2017,Sierra Grajales Luis Emilio,No
01/26/2017,Velasco Chaves  Luis Fernando,No
01/26/2017,Aguilar Hurtado Nerthink Mauricio,No
01/26/2017,Avirama Avirama Marco Aníbal,No
01/26/2017,Barreras Montealegre Roy Leonardo,No
01/26/2017,Besaile Fayad Musa,Si
01/26/2017,Elías Vidal Bernardo Miguel,Si
01/26/2017,Hoyos Giraldo Germán Darío,Si
01/26/2017,Lizcano Arango Oscar Mauricio,Si
01/26/2017,Martínez Aristizábal Maritza,Si
01/26/2017,García Burgos Nora María,Si
01/26/2017,Merheg Marun Juan Samy,No
01/26/2017,Paredes Aguirre Myriam Alicia,Si
01/26/2017,Suárez Mira Olga Lucía,Si
01/26/2017,Tamayo Tamayo Fernando Eustacio,No
01/26/2017,Casado de López Arleth Patricia,No
01/26/2017,Delgado Ruiz Édinson,No
01/26/2017,Durán Barrera Jaime Enrique,No
01/26/2017,García Turbay Lidio,No
01/26/2017,Santos Marín Guillermo Antonio,No
01/26/2017,Villalba Mosquera Rodrigo,No
01/26/2017,Correa Jiménez Antonio José,No
01/26/2017,García Romero Teresita,No
01/26/2017,Guerra Sotto Julio Miguel,Si
01/26/2017,Motoa Solarte Carlos Fernando,No
01/26/2017,Name Iván Leonidas,Si
01/26/2017,Vega Quiroz Doris Clemencia,Si
01/26/2017,Andrade Casamá Luis Evelis,No
