Fecha de la Plenaria,Nombre del Senador,Resultado
2017-01-26,Vega  de Plazas Ruby Thania,Si
2017-01-26,Andrade Serrano Hernan Francisco,Si
2017-01-26,Asthon Giraldo Alvaro Antonio,No
2017-01-26,Benedetti Villaneda Armando Alberto,No
2017-01-26,Celis Carrillo Bernabe,Si
2017-01-26,Cepeda Sarabia Efrain Jose,Si
2017-01-26,Corzo Roman Juan Manuel,Si
2017-01-26,Char Chaljub Arturo,No
2017-01-26,Duque Garcia Luis Fernando,No
2017-01-26,Enriquez Maya Carlos Eduardo,No
2017-01-26,Enriquez Rosero Manuel Mesias,Si
2017-01-26,Galan Pachon Juan Manuel,No
2017-01-26,Galvis Mendez Daira,Si
2017-01-26,Garcia Realpe Guillermo,No
2017-01-26,Gerlein Echeverria Roberto,Si
2017-01-26,Guerra de la Espriella Antonio del Cristo,No
2017-01-26,Lopez Maya Alexander,No
2017-01-26,Mora Jaramillo Manuel Guillermo,No
2017-01-26,Name Cardozo Jose David,Si
2017-01-26,Pedraza Gutierrez Jorge Hernando,Si
2017-01-26,Restrepo Escobar Juan Carlos,No
2017-01-26,Robledo Castillo Jorge Enrique,Si
2017-01-26,Rodriguez Sarmiento Milton Arlex,Si
2017-01-26,Sierra Grajales Luis Emilio,No
2017-01-26,Velasco Chaves  Luis Fernando,No
2017-01-26,Aguilar Hurtado Nerthink Mauricio,No
2017-01-26,Avirama Avirama Marco Anibal,No
2017-01-26,Barreras Montealegre Roy Leonardo,No
2017-01-26,Besaile Fayad Musa,Si
2017-01-26,Elias Vidal Bernardo Miguel,Si
2017-01-26,Hoyos Giraldo German Dario,Si
2017-01-26,Lizcano Arango Oscar Mauricio,Si
2017-01-26,Martinez Aristizabal Maritza,Si
2017-01-26,Garcia Burgos Nora Maria,Si
2017-01-26,Merheg Marun Juan Samy,No
2017-01-26,Paredes Aguirre Myriam Alicia,Si
2017-01-26,Suarez Mira Olga Lucia,Si
2017-01-26,Tamayo Tamayo Fernando Eustacio,No
2017-01-26,Casado de Lopez Arleth Patricia,No
2017-01-26,Delgado Ruiz Edinson,No
2017-01-26,Duran Barrera Jaime Enrique,No
2017-01-26,Garcia Turbay Lidio,No
2017-01-26,Santos Marin Guillermo Antonio,No
2017-01-26,Villalba Mosquera Rodrigo,No
2017-01-26,Correa Jimenez Antonio Jose,No
2017-01-26,Garcia Romero Teresita,No
2017-01-26,Guerra Sotto Julio Miguel,Si
2017-01-26,Motoa Solarte Carlos Fernando,No
2017-01-26,Name Ivan Leonidas,Si
2017-01-26,Vega Quiroz Doris Clemencia,Si
