Fecha,Departamento,Municipio,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,Cantidad
01/01/2018 12:00:00 AM,AMAZONAS,LETICIA (CT),Lunes,12/31/1899 12:00:00 AM,SAN MARTIN,URBANA,ENTIDAD PUBLICA / ESTATAL,NO REPORTADO,A PIE,A PIE,14,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,"91,001,000",1
01/01/2018 12:00:00 AM,ANTIOQUIA,AMAGÁ,Lunes,12/31/1899 12:00:00 AM,LA GUALI,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,15,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,"5,030,000",1
01/01/2018 12:00:00 AM,ANTIOQUIA,AMALFI,Lunes,12/31/1899 12:00:00 AM,NARANJITO,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,-,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,-,PRIMARIA,"5,031,000",1
01/01/2018 12:00:00 AM,ANTIOQUIA,APARTADÓ,Lunes,12/31/1899 12:00:00 AM,OBRERO,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,13,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,"5,045,000",1
01/01/2018 12:00:00 AM,ANTIOQUIA,APARTADÓ,Lunes,12/31/1899 04:30:00 AM,CENTRO,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,22,FEMENINO,UNION LIBRE,-,EMPLEADO PARTICULAR,-,SECUNDARIA,"5,045,000",1
01/01/2018 12:00:00 AM,ANTIOQUIA,BELLO,Lunes,12/31/1899 07:45:00 PM,LA ESTACION,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,13,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,SECUNDARIA,"5,088,000",1
01/01/2018 12:00:00 AM,ANTIOQUIA,CALDAS,Lunes,12/31/1899 08:00:00 AM,CENTRO,URBANA,OFICINAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,11,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,PRIMARIA,"5,129,000",1
01/01/2018 12:00:00 AM,ANTIOQUIA,ENVIGADO,Lunes,12/31/1899 04:50:00 PM,EL PORTAL,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,18,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,-,PRIMARIA,"5,266,000",1
01/01/2018 12:00:00 AM,ANTIOQUIA,GUADALUPE,Lunes,12/31/1899 08:00:00 PM,TENCHE,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,12,FEMENINO,UNION LIBRE,-,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,"5,315,000",1
01/01/2018 12:00:00 AM,ANTIOQUIA,GUARNE,Lunes,12/31/1899 12:00:00 AM,JUAN XXIII,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,-,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,-,PRIMARIA,"5,318,000",1
01/01/2018 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Lunes,12/31/1899 10:50:00 AM,BELEN C-16,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,32,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,-,PRIMARIA,"5,001,000",1
01/01/2018 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Lunes,12/31/1899 06:30:00 PM,VILLA TINA C-8,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,36,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,"5,001,000",1
01/01/2018 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Lunes,12/31/1899 01:30:00 PM,PARQUE NORTE C-4,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,65,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,"5,001,000",1
01/01/2018 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Lunes,12/31/1899 04:50:00 PM,MANRIQUE CENTRAL No. 2  C-3,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,"5,001,000",1
01/01/2018 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Lunes,12/31/1899 08:00:00 PM,CAMPO VALDES 1  C-4,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,12,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,"5,001,000",1
