Fecha,Departamento,CantidadTotal
01/01/2017,ANTIOQUIA,6
01/01/2017,ARAUCA,2
01/01/2017,ATLÁNTICO,10
01/01/2017,BOLÍVAR,8
01/01/2017,BOYACÁ,11
01/01/2017,CALDAS,2
01/01/2017,CASANARE,1
01/01/2017,CAUCA,8
01/01/2017,CESAR,2
01/01/2017,CHOCÓ,4
01/01/2017,CUNDINAMARCA,20
01/01/2017,CÓRDOBA,4
01/01/2017,GUAJIRA,5
01/01/2017,HUILA,13
01/01/2017,MAGDALENA,1
01/01/2017,META,4
01/01/2017,NARIÑO,11
01/01/2017,NORTE DE SANTANDER,1
01/01/2017,PUTUMAYO,5
01/01/2017,RISARALDA,2
01/01/2017,SAN ANDRÉS,1
01/01/2017,SANTANDER,14
01/01/2017,SUCRE,5
01/01/2017,TOLIMA,10
01/01/2017,VALLE,18
02/01/2017,ANTIOQUIA,7
02/01/2017,ATLÁNTICO,8
02/01/2017,BOLÍVAR,2
02/01/2017,BOYACÁ,3
02/01/2017,CAQUETÁ,2
02/01/2017,CASANARE,1
02/01/2017,CAUCA,1
02/01/2017,CESAR,1
02/01/2017,CHOCÓ,1
02/01/2017,CUNDINAMARCA,16
02/01/2017,CÓRDOBA,3
02/01/2017,GUAJIRA,2
02/01/2017,HUILA,4
02/01/2017,MAGDALENA,1
02/01/2017,META,2
02/01/2017,NARIÑO,8
02/01/2017,NORTE DE SANTANDER,4
02/01/2017,QUINDÍO,2
02/01/2017,RISARALDA,1
02/01/2017,SANTANDER,8
02/01/2017,SUCRE,2
02/01/2017,TOLIMA,4
02/01/2017,VALLE,18
03/01/2017,AMAZONAS,2
03/01/2017,ANTIOQUIA,3
03/01/2017,ATLÁNTICO,8
03/01/2017,BOLÍVAR,4
03/01/2017,BOYACÁ,7
03/01/2017,CALDAS,1
03/01/2017,CAQUETÁ,3
03/01/2017,CASANARE,1
03/01/2017,CAUCA,3
03/01/2017,CESAR,1
03/01/2017,CHOCÓ,1
03/01/2017,CUNDINAMARCA,9
03/01/2017,CÓRDOBA,3
03/01/2017,GUAJIRA,1
03/01/2017,HUILA,3
03/01/2017,MAGDALENA,3
03/01/2017,META,3
03/01/2017,NARIÑO,7
03/01/2017,NORTE DE SANTANDER,2
03/01/2017,PUTUMAYO,1
03/01/2017,QUINDÍO,1
03/01/2017,SAN ANDRÉS,1
03/01/2017,SANTANDER,2
03/01/2017,SUCRE,6
03/01/2017,TOLIMA,2
03/01/2017,VALLE,12
04/01/2017,AMAZONAS,1
04/01/2017,ARAUCA,1
04/01/2017,ATLÁNTICO,11
04/01/2017,BOLÍVAR,1
04/01/2017,BOYACÁ,2
04/01/2017,CALDAS,1
04/01/2017,CAQUETÁ,1
04/01/2017,CASANARE,1
04/01/2017,CAUCA,3
04/01/2017,CHOCÓ,2
04/01/2017,CUNDINAMARCA,17
04/01/2017,CÓRDOBA,4
04/01/2017,GUAJIRA,4
04/01/2017,HUILA,1
04/01/2017,MAGDALENA,2
04/01/2017,META,4
04/01/2017,NARIÑO,4
04/01/2017,NORTE DE SANTANDER,2
04/01/2017,QUINDÍO,2
04/01/2017,RISARALDA,1
04/01/2017,SANTANDER,5
04/01/2017,SUCRE,5
04/01/2017,TOLIMA,2
04/01/2017,VALLE,12
05/01/2017,ANTIOQUIA,7
05/01/2017,ARAUCA,1
05/01/2017,ATLÁNTICO,8
05/01/2017,BOLÍVAR,2
05/01/2017,BOYACÁ,4
05/01/2017,CAQUETÁ,1
05/01/2017,CASANARE,2
05/01/2017,CAUCA,1
05/01/2017,CESAR,2
05/01/2017,CHOCÓ,2
05/01/2017,CUNDINAMARCA,6
05/01/2017,CÓRDOBA,5
05/01/2017,GUAJIRA,3
05/01/2017,HUILA,2
05/01/2017,MAGDALENA,4
05/01/2017,META,7
05/01/2017,NARIÑO,4
05/01/2017,NORTE DE SANTANDER,5
05/01/2017,PUTUMAYO,1
05/01/2017,RISARALDA,2
05/01/2017,SANTANDER,1
05/01/2017,SUCRE,3
05/01/2017,TOLIMA,1
05/01/2017,VALLE,11
06/01/2017,ANTIOQUIA,7
06/01/2017,ARAUCA,1
06/01/2017,ATLÁNTICO,2
06/01/2017,BOLÍVAR,4
06/01/2017,BOYACÁ,4
06/01/2017,CAQUETÁ,3
06/01/2017,CASANARE,1
06/01/2017,CAUCA,3
06/01/2017,CESAR,2
06/01/2017,CHOCÓ,1
06/01/2017,CUNDINAMARCA,17
06/01/2017,CÓRDOBA,3
06/01/2017,GUAJIRA,1
06/01/2017,GUAVIARE,1
06/01/2017,HUILA,2
06/01/2017,MAGDALENA,1
06/01/2017,META,2
06/01/2017,NARIÑO,2
06/01/2017,NORTE DE SANTANDER,5
06/01/2017,PUTUMAYO,1
06/01/2017,SANTANDER,5
06/01/2017,SUCRE,1
06/01/2017,TOLIMA,8
06/01/2017,VALLE,7
07/01/2017,ANTIOQUIA,4
07/01/2017,ATLÁNTICO,1
07/01/2017,BOLÍVAR,1
07/01/2017,BOYACÁ,4
07/01/2017,CALDAS,2
07/01/2017,CAQUETÁ,1
07/01/2017,CAUCA,3
07/01/2017,CESAR,2
07/01/2017,CUNDINAMARCA,8
07/01/2017,CÓRDOBA,3
07/01/2017,GUAJIRA,3
07/01/2017,HUILA,1
07/01/2017,MAGDALENA,2
07/01/2017,META,2
07/01/2017,NARIÑO,1
07/01/2017,NORTE DE SANTANDER,1
07/01/2017,RISARALDA,1
07/01/2017,SANTANDER,6
07/01/2017,SUCRE,1
07/01/2017,TOLIMA,2
07/01/2017,VALLE,4
07/01/2017,VICHADA,1
08/01/2017,ANTIOQUIA,5
08/01/2017,ARAUCA,3
08/01/2017,ATLÁNTICO,3
08/01/2017,BOLÍVAR,1
08/01/2017,BOYACÁ,3
08/01/2017,CALDAS,1
08/01/2017,CASANARE,1
08/01/2017,CESAR,2
08/01/2017,CHOCÓ,2
08/01/2017,CUNDINAMARCA,17
08/01/2017,GUAJIRA,1
08/01/2017,HUILA,6
08/01/2017,MAGDALENA,2
08/01/2017,META,2
08/01/2017,NARIÑO,4
08/01/2017,PUTUMAYO,2
08/01/2017,QUINDÍO,2
