Fecha,Sexo,CantidadTotal
01/01/2017,FEMENINO,82
01/01/2017,MASCULINO,86
02/01/2017,FEMENINO,46
02/01/2017,MASCULINO,55
03/01/2017,FEMENINO,42
03/01/2017,MASCULINO,48
04/01/2017,FEMENINO,39
04/01/2017,MASCULINO,50
05/01/2017,FEMENINO,37
05/01/2017,MASCULINO,48
06/01/2017,FEMENINO,41
06/01/2017,MASCULINO,43
07/01/2017,FEMENINO,25
07/01/2017,MASCULINO,29
08/01/2017,FEMENINO,31
08/01/2017,MASCULINO,37
09/01/2017,FEMENINO,18
09/01/2017,MASCULINO,34
10/01/2017,FEMENINO,48
10/01/2017,MASCULINO,83
11/01/2017,FEMENINO,37
11/01/2017,MASCULINO,43
12/01/2017,FEMENINO,47
12/01/2017,MASCULINO,56
13/01/2017,FEMENINO,44
13/01/2017,MASCULINO,41
14/01/2017,-,1
14/01/2017,FEMENINO,43
14/01/2017,MASCULINO,49
15/01/2017,FEMENINO,53
15/01/2017,MASCULINO,62
16/01/2017,FEMENINO,56
16/01/2017,MASCULINO,70
17/01/2017,FEMENINO,40
17/01/2017,MASCULINO,48
18/01/2017,FEMENINO,46
18/01/2017,MASCULINO,47
19/01/2017,FEMENINO,48
19/01/2017,MASCULINO,51
20/01/2017,FEMENINO,48
20/01/2017,MASCULINO,60
21/01/2017,FEMENINO,37
21/01/2017,MASCULINO,55
22/01/2017,FEMENINO,36
22/01/2017,MASCULINO,45
23/01/2017,FEMENINO,48
23/01/2017,MASCULINO,74
24/01/2017,FEMENINO,40
24/01/2017,MASCULINO,46
25/01/2017,FEMENINO,35
25/01/2017,MASCULINO,51
26/01/2017,FEMENINO,39
26/01/2017,MASCULINO,60
27/01/2017,FEMENINO,41
27/01/2017,MASCULINO,50
28/01/2017,FEMENINO,30
28/01/2017,MASCULINO,39
29/01/2017,FEMENINO,38
29/01/2017,MASCULINO,44
30/01/2017,FEMENINO,57
30/01/2017,MASCULINO,59
31/01/2017,FEMENINO,48
31/01/2017,MASCULINO,54
01/02/2017,-,1
01/02/2017,FEMENINO,47
01/02/2017,MASCULINO,83
02/02/2017,FEMENINO,53
02/02/2017,MASCULINO,56
03/02/2017,FEMENINO,43
03/02/2017,MASCULINO,61
04/02/2017,FEMENINO,44
04/02/2017,MASCULINO,51
05/02/2017,FEMENINO,45
05/02/2017,MASCULINO,59
06/02/2017,FEMENINO,58
06/02/2017,MASCULINO,52
07/02/2017,FEMENINO,53
07/02/2017,MASCULINO,52
08/02/2017,FEMENINO,54
