Fecha,CantidadTotal
01/01/2017,168
02/01/2017,101
03/01/2017,90
04/01/2017,89
05/01/2017,85
06/01/2017,84
07/01/2017,54
08/01/2017,68
09/01/2017,52
10/01/2017,131
11/01/2017,80
12/01/2017,103
13/01/2017,85
14/01/2017,93
15/01/2017,115
16/01/2017,126
17/01/2017,88
18/01/2017,93
19/01/2017,99
20/01/2017,108
21/01/2017,92
22/01/2017,81
23/01/2017,122
24/01/2017,86
25/01/2017,86
26/01/2017,99
27/01/2017,91
28/01/2017,69
29/01/2017,82
30/01/2017,116
31/01/2017,102
01/02/2017,131
02/02/2017,109
03/02/2017,104
04/02/2017,95
05/02/2017,104
06/02/2017,110
07/02/2017,105
08/02/2017,110
09/02/2017,79
10/02/2017,109
11/02/2017,90
12/02/2017,93
13/02/2017,101
14/02/2017,78
15/02/2017,124
16/02/2017,112
17/02/2017,102
18/02/2017,75
19/02/2017,74
20/02/2017,111
21/02/2017,91
22/02/2017,104
23/02/2017,99
24/02/2017,92
25/02/2017,85
26/02/2017,77
27/02/2017,102
28/02/2017,71
01/03/2017,102
02/03/2017,84
03/03/2017,115
04/03/2017,92
05/03/2017,114
06/03/2017,130
07/03/2017,97
08/03/2017,96
09/03/2017,91
10/03/2017,116
11/03/2017,89
12/03/2017,89
13/03/2017,82
14/03/2017,82
15/03/2017,130
16/03/2017,100
17/03/2017,101
18/03/2017,93
19/03/2017,71
20/03/2017,88
21/03/2017,118
22/03/2017,103
23/03/2017,91
24/03/2017,103
25/03/2017,73
26/03/2017,78
27/03/2017,101
28/03/2017,132
29/03/2017,74
30/03/2017,88
31/03/2017,79
01/04/2017,105
02/04/2017,98
03/04/2017,123
04/04/2017,105
05/04/2017,109
06/04/2017,105
07/04/2017,94
08/04/2017,78
09/04/2017,70
10/04/2017,97
11/04/2017,60
12/04/2017,67
13/04/2017,82
14/04/2017,42
15/04/2017,93
16/04/2017,91
17/04/2017,99
18/04/2017,117
19/04/2017,110
20/04/2017,104
21/04/2017,111
22/04/2017,78
23/04/2017,107
24/04/2017,100
25/04/2017,93
26/04/2017,92
27/04/2017,100
28/04/2017,106
29/04/2017,50
30/04/2017,90
01/05/2017,119
02/05/2017,101
03/05/2017,93
04/05/2017,115
05/05/2017,122
06/05/2017,68
07/05/2017,96
08/05/2017,136
09/05/2017,104
