Fecha,Zona,CantidadTotal
01/01/2017,RURAL,21
01/01/2017,URBANA,147
02/01/2017,RURAL,15
02/01/2017,URBANA,86
03/01/2017,RURAL,10
03/01/2017,URBANA,80
04/01/2017,RURAL,10
04/01/2017,URBANA,79
05/01/2017,RURAL,8
05/01/2017,URBANA,77
06/01/2017,RURAL,9
06/01/2017,URBANA,75
07/01/2017,RURAL,10
07/01/2017,URBANA,44
08/01/2017,RURAL,11
08/01/2017,URBANA,57
09/01/2017,RURAL,6
09/01/2017,URBANA,46
10/01/2017,RURAL,17
10/01/2017,URBANA,114
11/01/2017,RURAL,5
11/01/2017,URBANA,75
12/01/2017,RURAL,13
12/01/2017,URBANA,90
13/01/2017,RURAL,9
13/01/2017,URBANA,76
14/01/2017,RURAL,6
14/01/2017,URBANA,87
15/01/2017,RURAL,23
15/01/2017,URBANA,92
16/01/2017,RURAL,14
16/01/2017,URBANA,112
17/01/2017,RURAL,8
17/01/2017,URBANA,80
18/01/2017,RURAL,8
18/01/2017,URBANA,85
19/01/2017,RURAL,8
19/01/2017,URBANA,91
20/01/2017,RURAL,11
20/01/2017,URBANA,97
21/01/2017,RURAL,7
21/01/2017,URBANA,85
22/01/2017,RURAL,5
22/01/2017,URBANA,76
23/01/2017,RURAL,13
23/01/2017,URBANA,109
24/01/2017,RURAL,6
24/01/2017,URBANA,80
25/01/2017,RURAL,11
25/01/2017,URBANA,75
26/01/2017,RURAL,10
26/01/2017,URBANA,89
27/01/2017,RURAL,6
27/01/2017,URBANA,85
28/01/2017,RURAL,9
28/01/2017,URBANA,60
29/01/2017,RURAL,7
29/01/2017,URBANA,75
30/01/2017,RURAL,11
30/01/2017,URBANA,105
31/01/2017,RURAL,14
31/01/2017,URBANA,88
01/02/2017,RURAL,8
01/02/2017,URBANA,123
02/02/2017,RURAL,14
02/02/2017,URBANA,95
03/02/2017,RURAL,7
03/02/2017,URBANA,97
04/02/2017,RURAL,10
04/02/2017,URBANA,85
05/02/2017,RURAL,16
05/02/2017,URBANA,88
06/02/2017,RURAL,17
06/02/2017,URBANA,93
07/02/2017,RURAL,20
07/02/2017,URBANA,85
08/02/2017,RURAL,9
08/02/2017,URBANA,101
09/02/2017,RURAL,12
09/02/2017,URBANA,67
10/02/2017,RURAL,12
10/02/2017,URBANA,97
11/02/2017,RURAL,15
11/02/2017,URBANA,75
12/02/2017,RURAL,10
12/02/2017,URBANA,83
13/02/2017,RURAL,13
13/02/2017,URBANA,88
14/02/2017,RURAL,5
14/02/2017,URBANA,73
15/02/2017,RURAL,13
15/02/2017,URBANA,111
16/02/2017,RURAL,8
16/02/2017,URBANA,104
17/02/2017,RURAL,14
17/02/2017,URBANA,88
18/02/2017,RURAL,3
18/02/2017,URBANA,72
19/02/2017,RURAL,8
19/02/2017,URBANA,66
20/02/2017,RURAL,8
20/02/2017,URBANA,103
21/02/2017,RURAL,7
21/02/2017,URBANA,84
22/02/2017,RURAL,12
22/02/2017,URBANA,92
23/02/2017,RURAL,6
23/02/2017,URBANA,93
24/02/2017,RURAL,10
24/02/2017,URBANA,82
25/02/2017,RURAL,9
25/02/2017,URBANA,76
26/02/2017,RURAL,9
26/02/2017,URBANA,68
27/02/2017,RURAL,8
27/02/2017,URBANA,94
28/02/2017,RURAL,6
28/02/2017,URBANA,65
01/03/2017,RURAL,7
01/03/2017,URBANA,95
02/03/2017,RURAL,6
02/03/2017,URBANA,78
03/03/2017,RURAL,9
03/03/2017,URBANA,106
04/03/2017,RURAL,11
04/03/2017,URBANA,81
05/03/2017,RURAL,10
05/03/2017,URBANA,104
06/03/2017,RURAL,17
06/03/2017,URBANA,113
07/03/2017,RURAL,9
07/03/2017,URBANA,88
08/03/2017,RURAL,6
08/03/2017,URBANA,90
09/03/2017,RURAL,6
09/03/2017,URBANA,85
10/03/2017,RURAL,9
10/03/2017,URBANA,107
11/03/2017,RURAL,12
11/03/2017,URBANA,77
12/03/2017,RURAL,10
12/03/2017,URBANA,79
13/03/2017,RURAL,8
13/03/2017,URBANA,74
14/03/2017,RURAL,4
14/03/2017,URBANA,78
15/03/2017,RURAL,10
15/03/2017,URBANA,120
16/03/2017,RURAL,11
16/03/2017,URBANA,89
17/03/2017,RURAL,2
17/03/2017,URBANA,99
18/03/2017,RURAL,10
18/03/2017,URBANA,83
19/03/2017,RURAL,8
19/03/2017,URBANA,63
20/03/2017,RURAL,8
20/03/2017,URBANA,80
21/03/2017,RURAL,19
21/03/2017,URBANA,99
22/03/2017,RURAL,9
22/03/2017,URBANA,94
23/03/2017,RURAL,6
23/03/2017,URBANA,85
24/03/2017,RURAL,9
24/03/2017,URBANA,94
25/03/2017,RURAL,9
25/03/2017,URBANA,64
26/03/2017,RURAL,14
26/03/2017,URBANA,64
27/03/2017,RURAL,6
27/03/2017,URBANA,95
