Fecha,Departamento,CantidadTotal
01/01/2017,AMAZONAS,1
01/01/2017,ANTIOQUIA,73
01/01/2017,ARAUCA,1
01/01/2017,ATLÁNTICO,12
01/01/2017,BOLÍVAR,14
01/01/2017,BOYACÁ,8
01/01/2017,CALDAS,10
01/01/2017,CAQUETÁ,22
01/01/2017,CASANARE,2
01/01/2017,CAUCA,9
01/01/2017,CESAR,4
01/01/2017,CHOCÓ,6
01/01/2017,CUNDINAMARCA,39
01/01/2017,CÓRDOBA,5
01/01/2017,GUAJIRA,1
01/01/2017,HUILA,12
01/01/2017,MAGDALENA,5
01/01/2017,META,11
01/01/2017,NARIÑO,8
01/01/2017,NORTE DE SANTANDER,6
01/01/2017,PUTUMAYO,4
01/01/2017,QUINDÍO,2
01/01/2017,RISARALDA,4
01/01/2017,SANTANDER,16
01/01/2017,SUCRE,5
01/01/2017,TOLIMA,15
01/01/2017,VALLE,22
01/01/2017,VAUPÉS,3
01/01/2017,VICHADA,2
02/01/2017,AMAZONAS,1
02/01/2017,ANTIOQUIA,16
02/01/2017,ATLÁNTICO,1
02/01/2017,BOLÍVAR,5
02/01/2017,BOYACÁ,1
02/01/2017,CALDAS,1
02/01/2017,CAQUETÁ,5
02/01/2017,CASANARE,3
02/01/2017,CAUCA,2
02/01/2017,CESAR,1
02/01/2017,CHOCÓ,1
02/01/2017,CUNDINAMARCA,16
02/01/2017,CÓRDOBA,1
02/01/2017,HUILA,3
02/01/2017,MAGDALENA,3
02/01/2017,META,3
02/01/2017,NARIÑO,4
02/01/2017,NORTE DE SANTANDER,3
02/01/2017,QUINDÍO,2
02/01/2017,RISARALDA,2
02/01/2017,SANTANDER,5
02/01/2017,SUCRE,1
02/01/2017,TOLIMA,3
02/01/2017,VALLE,10
03/01/2017,ANTIOQUIA,4
03/01/2017,ATLÁNTICO,7
03/01/2017,BOLÍVAR,2
03/01/2017,BOYACÁ,1
03/01/2017,CALDAS,1
03/01/2017,CAQUETÁ,3
03/01/2017,CAUCA,2
03/01/2017,CESAR,2
03/01/2017,CUNDINAMARCA,13
03/01/2017,CÓRDOBA,2
03/01/2017,GUAINÍA,1
03/01/2017,MAGDALENA,6
03/01/2017,META,2
03/01/2017,NARIÑO,2
03/01/2017,NORTE DE SANTANDER,3
03/01/2017,SAN ANDRÉS,1
03/01/2017,SANTANDER,3
03/01/2017,TOLIMA,7
03/01/2017,VALLE,6
04/01/2017,ANTIOQUIA,11
04/01/2017,ATLÁNTICO,4
04/01/2017,BOLÍVAR,4
04/01/2017,BOYACÁ,2
04/01/2017,CALDAS,3
04/01/2017,CAUCA,2
04/01/2017,CESAR,3
04/01/2017,CUNDINAMARCA,16
04/01/2017,CÓRDOBA,2
04/01/2017,GUAJIRA,1
04/01/2017,HUILA,1
04/01/2017,MAGDALENA,3
04/01/2017,META,4
04/01/2017,NARIÑO,2
04/01/2017,NORTE DE SANTANDER,1
04/01/2017,QUINDÍO,3
04/01/2017,RISARALDA,2
04/01/2017,SANTANDER,2
04/01/2017,VALLE,9
05/01/2017,ANTIOQUIA,16
05/01/2017,ATLÁNTICO,4
05/01/2017,BOLÍVAR,5
05/01/2017,BOYACÁ,2
05/01/2017,CALDAS,1
05/01/2017,CAQUETÁ,2
05/01/2017,CASANARE,2
05/01/2017,CAUCA,1
05/01/2017,CUNDINAMARCA,9
05/01/2017,CÓRDOBA,1
05/01/2017,HUILA,2
05/01/2017,MAGDALENA,1
05/01/2017,META,1
05/01/2017,NARIÑO,4
05/01/2017,NORTE DE SANTANDER,3
05/01/2017,QUINDÍO,2
05/01/2017,RISARALDA,1
05/01/2017,SAN ANDRÉS,1
05/01/2017,SANTANDER,1
05/01/2017,TOLIMA,3
05/01/2017,VALLE,9
06/01/2017,ANTIOQUIA,17
06/01/2017,ATLÁNTICO,3
06/01/2017,BOLÍVAR,2
06/01/2017,CALDAS,1
06/01/2017,CAQUETÁ,2
06/01/2017,CAUCA,1
06/01/2017,CESAR,1
06/01/2017,CUNDINAMARCA,13
06/01/2017,CÓRDOBA,1
06/01/2017,HUILA,1
06/01/2017,MAGDALENA,3
06/01/2017,META,4
06/01/2017,NARIÑO,4
06/01/2017,NORTE DE SANTANDER,1
06/01/2017,PUTUMAYO,1
06/01/2017,RISARALDA,1
06/01/2017,SANTANDER,4
06/01/2017,TOLIMA,2
06/01/2017,VALLE,3
07/01/2017,AMAZONAS,1
07/01/2017,ANTIOQUIA,12
07/01/2017,ATLÁNTICO,3
07/01/2017,BOLÍVAR,4
07/01/2017,BOYACÁ,2
07/01/2017,CALDAS,2
07/01/2017,CAUCA,4
07/01/2017,CUNDINAMARCA,10
07/01/2017,CÓRDOBA,3
07/01/2017,GUAJIRA,1
07/01/2017,HUILA,1
07/01/2017,MAGDALENA,3
07/01/2017,META,1
07/01/2017,NARIÑO,4
07/01/2017,NORTE DE SANTANDER,1
07/01/2017,QUINDÍO,1
07/01/2017,SANTANDER,5
07/01/2017,SUCRE,3
07/01/2017,TOLIMA,1
07/01/2017,VALLE,4
08/01/2017,ANTIOQUIA,6
08/01/2017,ARAUCA,1
08/01/2017,ATLÁNTICO,1
08/01/2017,BOLÍVAR,3
08/01/2017,BOYACÁ,2
08/01/2017,CALDAS,1
08/01/2017,CESAR,3
08/01/2017,CUNDINAMARCA,10
08/01/2017,CÓRDOBA,2
08/01/2017,GUAJIRA,1
08/01/2017,HUILA,2
08/01/2017,MAGDALENA,2
08/01/2017,META,2
08/01/2017,NARIÑO,1
08/01/2017,NORTE DE SANTANDER,4
08/01/2017,QUINDÍO,1
08/01/2017,RISARALDA,1
08/01/2017,SANTANDER,1
08/01/2017,TOLIMA,1
08/01/2017,VALLE,3
09/01/2017,AMAZONAS,1
09/01/2017,ANTIOQUIA,11
09/01/2017,ATLÁNTICO,4
09/01/2017,BOLÍVAR,1
09/01/2017,BOYACÁ,1
09/01/2017,CALDAS,1
09/01/2017,CAUCA,2
09/01/2017,CESAR,1
09/01/2017,CUNDINAMARCA,13
09/01/2017,GUAVIARE,1
09/01/2017,MAGDALENA,2
09/01/2017,META,2
09/01/2017,NARIÑO,3
09/01/2017,NORTE DE SANTANDER,2
09/01/2017,QUINDÍO,1
09/01/2017,SAN ANDRÉS,1
09/01/2017,SANTANDER,10
09/01/2017,SUCRE,1
09/01/2017,TOLIMA,2
09/01/2017,VALLE,5
10/01/2017,ANTIOQUIA,18
10/01/2017,ARAUCA,1
10/01/2017,ATLÁNTICO,4
10/01/2017,BOLÍVAR,1
10/01/2017,BOYACÁ,4
10/01/2017,CALDAS,3
10/01/2017,CASANARE,4
10/01/2017,CAUCA,3
10/01/2017,CESAR,4
10/01/2017,CUNDINAMARCA,22
10/01/2017,CÓRDOBA,4
10/01/2017,HUILA,5
10/01/2017,MAGDALENA,4
10/01/2017,META,5
10/01/2017,NARIÑO,1
10/01/2017,NORTE DE SANTANDER,2
10/01/2017,PUTUMAYO,3
10/01/2017,QUINDÍO,5
10/01/2017,RISARALDA,1
10/01/2017,SAN ANDRÉS,1
10/01/2017,SANTANDER,9
10/01/2017,SUCRE,3
