Fecha,Sexo,CantidadTotal
01/01/2017,FEMENINO,293
01/01/2017,MASCULINO,29
02/01/2017,FEMENINO,79
02/01/2017,MASCULINO,14
03/01/2017,FEMENINO,62
03/01/2017,MASCULINO,6
04/01/2017,FEMENINO,61
04/01/2017,MASCULINO,14
05/01/2017,FEMENINO,60
05/01/2017,MASCULINO,11
06/01/2017,FEMENINO,53
06/01/2017,MASCULINO,12
07/01/2017,FEMENINO,61
07/01/2017,MASCULINO,5
08/01/2017,FEMENINO,45
08/01/2017,MASCULINO,3
09/01/2017,FEMENINO,53
09/01/2017,MASCULINO,12
10/01/2017,FEMENINO,106
10/01/2017,MASCULINO,14
11/01/2017,FEMENINO,66
11/01/2017,MASCULINO,4
12/01/2017,FEMENINO,84
12/01/2017,MASCULINO,10
13/01/2017,FEMENINO,51
13/01/2017,MASCULINO,9
14/01/2017,FEMENINO,55
14/01/2017,MASCULINO,5
15/01/2017,FEMENINO,81
15/01/2017,MASCULINO,14
16/01/2017,FEMENINO,55
16/01/2017,MASCULINO,12
17/01/2017,FEMENINO,61
17/01/2017,MASCULINO,14
18/01/2017,FEMENINO,79
18/01/2017,MASCULINO,11
19/01/2017,FEMENINO,48
19/01/2017,MASCULINO,5
20/01/2017,FEMENINO,70
20/01/2017,MASCULINO,9
21/01/2017,FEMENINO,57
21/01/2017,MASCULINO,10
22/01/2017,FEMENINO,70
22/01/2017,MASCULINO,10
23/01/2017,FEMENINO,71
23/01/2017,MASCULINO,9
24/01/2017,FEMENINO,58
24/01/2017,MASCULINO,12
25/01/2017,FEMENINO,67
25/01/2017,MASCULINO,3
26/01/2017,FEMENINO,43
26/01/2017,MASCULINO,7
27/01/2017,FEMENINO,64
27/01/2017,MASCULINO,9
28/01/2017,FEMENINO,62
28/01/2017,MASCULINO,13
29/01/2017,FEMENINO,49
29/01/2017,MASCULINO,4
30/01/2017,FEMENINO,71
30/01/2017,MASCULINO,9
31/01/2017,FEMENINO,52
31/01/2017,MASCULINO,10
01/02/2017,FEMENINO,168
01/02/2017,MASCULINO,29
02/02/2017,FEMENINO,78
02/02/2017,MASCULINO,8
03/02/2017,FEMENINO,71
03/02/2017,MASCULINO,9
04/02/2017,FEMENINO,73
04/02/2017,MASCULINO,1
05/02/2017,FEMENINO,61
05/02/2017,MASCULINO,11
06/02/2017,FEMENINO,84
06/02/2017,MASCULINO,14
07/02/2017,FEMENINO,76
07/02/2017,MASCULINO,6
08/02/2017,FEMENINO,78
08/02/2017,MASCULINO,9
09/02/2017,-,1
09/02/2017,FEMENINO,56
09/02/2017,MASCULINO,10
10/02/2017,FEMENINO,77
10/02/2017,MASCULINO,12
11/02/2017,FEMENINO,60
11/02/2017,MASCULINO,11
12/02/2017,FEMENINO,64
12/02/2017,MASCULINO,14
13/02/2017,FEMENINO,66
13/02/2017,MASCULINO,12
14/02/2017,FEMENINO,63
14/02/2017,MASCULINO,16
15/02/2017,FEMENINO,94
15/02/2017,MASCULINO,12
16/02/2017,FEMENINO,86
16/02/2017,MASCULINO,14
17/02/2017,FEMENINO,70
17/02/2017,MASCULINO,17
18/02/2017,FEMENINO,65
18/02/2017,MASCULINO,14
19/02/2017,FEMENINO,55
19/02/2017,MASCULINO,5
20/02/2017,FEMENINO,97
20/02/2017,MASCULINO,14
21/02/2017,FEMENINO,71
21/02/2017,MASCULINO,14
22/02/2017,FEMENINO,83
22/02/2017,MASCULINO,10
23/02/2017,FEMENINO,85
23/02/2017,MASCULINO,12
24/02/2017,FEMENINO,64
24/02/2017,MASCULINO,7
25/02/2017,FEMENINO,53
25/02/2017,MASCULINO,8
