Fecha,CantidadTotal
01/01/2017,322
02/01/2017,93
03/01/2017,68
04/01/2017,75
05/01/2017,71
06/01/2017,65
07/01/2017,66
08/01/2017,48
09/01/2017,65
10/01/2017,120
11/01/2017,70
12/01/2017,94
13/01/2017,60
14/01/2017,60
15/01/2017,95
16/01/2017,67
17/01/2017,75
18/01/2017,90
19/01/2017,53
20/01/2017,79
21/01/2017,67
22/01/2017,80
23/01/2017,80
24/01/2017,70
25/01/2017,70
26/01/2017,50
27/01/2017,73
28/01/2017,75
29/01/2017,53
30/01/2017,80
31/01/2017,62
01/02/2017,197
02/02/2017,86
03/02/2017,80
04/02/2017,74
05/02/2017,72
06/02/2017,98
07/02/2017,82
08/02/2017,87
09/02/2017,67
10/02/2017,89
11/02/2017,71
12/02/2017,78
13/02/2017,78
14/02/2017,79
15/02/2017,106
16/02/2017,100
17/02/2017,87
18/02/2017,79
19/02/2017,60
20/02/2017,111
21/02/2017,85
22/02/2017,93
23/02/2017,97
24/02/2017,71
25/02/2017,61
26/02/2017,71
27/02/2017,78
28/02/2017,88
01/03/2017,175
02/03/2017,95
03/03/2017,95
04/03/2017,66
05/03/2017,77
06/03/2017,79
07/03/2017,62
08/03/2017,98
09/03/2017,104
10/03/2017,103
11/03/2017,64
12/03/2017,70
13/03/2017,80
14/03/2017,79
15/03/2017,101
16/03/2017,87
17/03/2017,91
18/03/2017,69
19/03/2017,70
20/03/2017,65
21/03/2017,69
22/03/2017,77
23/03/2017,84
24/03/2017,75
25/03/2017,70
26/03/2017,56
27/03/2017,89
28/03/2017,102
29/03/2017,85
30/03/2017,66
31/03/2017,91
01/04/2017,153
02/04/2017,86
03/04/2017,98
04/04/2017,90
05/04/2017,100
06/04/2017,96
07/04/2017,77
08/04/2017,53
09/04/2017,80
10/04/2017,69
11/04/2017,68
12/04/2017,81
13/04/2017,48
14/04/2017,52
15/04/2017,92
16/04/2017,58
17/04/2017,97
18/04/2017,97
19/04/2017,67
20/04/2017,68
21/04/2017,61
22/04/2017,64
23/04/2017,74
24/04/2017,101
25/04/2017,79
26/04/2017,88
27/04/2017,80
28/04/2017,125
29/04/2017,67
30/04/2017,88
01/05/2017,160
02/05/2017,117
03/05/2017,85
04/05/2017,102
05/05/2017,132
06/05/2017,92
07/05/2017,71
08/05/2017,117
09/05/2017,90
10/05/2017,117
11/05/2017,85
12/05/2017,92
13/05/2017,73
14/05/2017,79
15/05/2017,104
16/05/2017,88
17/05/2017,105
18/05/2017,102
19/05/2017,96
20/05/2017,86
21/05/2017,78
22/05/2017,110
23/05/2017,95
24/05/2017,55
25/05/2017,84
26/05/2017,77
27/05/2017,75
28/05/2017,69
29/05/2017,46
30/05/2017,101
31/05/2017,100
01/06/2017,184
02/06/2017,93
03/06/2017,70
04/06/2017,78
05/06/2017,95
06/06/2017,85
07/06/2017,65
08/06/2017,75
09/06/2017,97
10/06/2017,70
11/06/2017,78
12/06/2017,84
13/06/2017,90
14/06/2017,97
15/06/2017,115
16/06/2017,82
17/06/2017,70
18/06/2017,70
19/06/2017,72
20/06/2017,102
21/06/2017,72
22/06/2017,66
23/06/2017,81
24/06/2017,72
25/06/2017,75
26/06/2017,60
27/06/2017,80
28/06/2017,70
29/06/2017,76
30/06/2017,78
01/07/2017,137
02/07/2017,88
03/07/2017,80
04/07/2017,81
05/07/2017,89
