Fecha,Zona,CantidadTotal
01/01/2017,RURAL,51
01/01/2017,URBANA,271
02/01/2017,RURAL,20
02/01/2017,URBANA,73
03/01/2017,RURAL,7
03/01/2017,URBANA,61
04/01/2017,RURAL,8
04/01/2017,URBANA,67
05/01/2017,RURAL,13
05/01/2017,URBANA,58
06/01/2017,RURAL,6
06/01/2017,URBANA,59
07/01/2017,RURAL,14
07/01/2017,URBANA,52
08/01/2017,RURAL,6
08/01/2017,URBANA,42
09/01/2017,RURAL,11
09/01/2017,URBANA,54
10/01/2017,RURAL,14
10/01/2017,URBANA,106
11/01/2017,RURAL,14
11/01/2017,URBANA,56
12/01/2017,RURAL,16
12/01/2017,URBANA,78
13/01/2017,RURAL,10
13/01/2017,URBANA,50
14/01/2017,RURAL,13
14/01/2017,URBANA,47
15/01/2017,RURAL,15
15/01/2017,URBANA,80
16/01/2017,RURAL,10
16/01/2017,URBANA,57
17/01/2017,RURAL,11
17/01/2017,URBANA,64
18/01/2017,RURAL,7
18/01/2017,URBANA,83
19/01/2017,RURAL,7
19/01/2017,URBANA,46
20/01/2017,RURAL,8
20/01/2017,URBANA,71
21/01/2017,RURAL,15
21/01/2017,URBANA,52
22/01/2017,RURAL,18
22/01/2017,URBANA,62
23/01/2017,RURAL,12
23/01/2017,URBANA,68
24/01/2017,RURAL,12
24/01/2017,URBANA,58
25/01/2017,RURAL,8
25/01/2017,URBANA,62
26/01/2017,RURAL,5
26/01/2017,URBANA,45
27/01/2017,RURAL,8
27/01/2017,URBANA,65
28/01/2017,RURAL,8
28/01/2017,URBANA,67
29/01/2017,RURAL,7
29/01/2017,URBANA,46
30/01/2017,RURAL,11
30/01/2017,URBANA,69
31/01/2017,RURAL,10
31/01/2017,URBANA,52
01/02/2017,RURAL,21
01/02/2017,URBANA,176
02/02/2017,RURAL,10
02/02/2017,URBANA,76
03/02/2017,RURAL,12
03/02/2017,URBANA,68
04/02/2017,RURAL,15
04/02/2017,URBANA,59
05/02/2017,RURAL,14
05/02/2017,URBANA,58
06/02/2017,RURAL,19
06/02/2017,URBANA,79
07/02/2017,RURAL,9
07/02/2017,URBANA,73
08/02/2017,RURAL,9
08/02/2017,URBANA,78
09/02/2017,RURAL,10
09/02/2017,URBANA,57
10/02/2017,RURAL,5
10/02/2017,URBANA,84
11/02/2017,RURAL,11
11/02/2017,URBANA,60
12/02/2017,RURAL,15
12/02/2017,URBANA,63
13/02/2017,RURAL,7
13/02/2017,URBANA,71
14/02/2017,RURAL,10
14/02/2017,URBANA,69
15/02/2017,RURAL,7
15/02/2017,URBANA,99
16/02/2017,RURAL,16
16/02/2017,URBANA,84
17/02/2017,RURAL,9
17/02/2017,URBANA,78
18/02/2017,RURAL,7
18/02/2017,URBANA,72
19/02/2017,RURAL,17
19/02/2017,URBANA,43
20/02/2017,RURAL,12
20/02/2017,URBANA,99
21/02/2017,RURAL,11
21/02/2017,URBANA,74
22/02/2017,RURAL,11
22/02/2017,URBANA,82
23/02/2017,RURAL,14
23/02/2017,URBANA,83
24/02/2017,RURAL,12
24/02/2017,URBANA,59
25/02/2017,RURAL,5
25/02/2017,URBANA,56
26/02/2017,RURAL,8
26/02/2017,URBANA,63
