Fecha,Departamento,CantidadTotal
01/01/2017,AMAZONAS,1
01/01/2017,ANTIOQUIA,13
01/01/2017,ATLÁNTICO,7
01/01/2017,BOYACÁ,1
01/01/2017,CALDAS,1
01/01/2017,CAQUETÁ,3
01/01/2017,CAUCA,13
01/01/2017,CESAR,1
01/01/2017,CUNDINAMARCA,12
01/01/2017,CÓRDOBA,1
01/01/2017,GUAJIRA,1
01/01/2017,HUILA,5
01/01/2017,MAGDALENA,2
01/01/2017,META,1
01/01/2017,NARIÑO,5
01/01/2017,NORTE DE SANTANDER,5
01/01/2017,PUTUMAYO,2
01/01/2017,QUINDÍO,1
01/01/2017,RISARALDA,3
01/01/2017,SANTANDER,2
01/01/2017,TOLIMA,2
01/01/2017,VALLE,13
02/01/2017,ANTIOQUIA,4
02/01/2017,ATLÁNTICO,2
02/01/2017,BOLÍVAR,2
02/01/2017,CAUCA,3
02/01/2017,CUNDINAMARCA,4
02/01/2017,CÓRDOBA,1
02/01/2017,META,1
02/01/2017,QUINDÍO,2
02/01/2017,RISARALDA,3
02/01/2017,TOLIMA,1
02/01/2017,VALLE,5
03/01/2017,ANTIOQUIA,1
03/01/2017,ATLÁNTICO,7
03/01/2017,BOLÍVAR,1
03/01/2017,CALDAS,2
03/01/2017,CAUCA,1
03/01/2017,CUNDINAMARCA,1
03/01/2017,GUAJIRA,2
03/01/2017,HUILA,1
03/01/2017,NARIÑO,2
03/01/2017,NORTE DE SANTANDER,2
03/01/2017,PUTUMAYO,1
03/01/2017,QUINDÍO,1
03/01/2017,RISARALDA,1
03/01/2017,SANTANDER,2
03/01/2017,VALLE,10
04/01/2017,ANTIOQUIA,6
04/01/2017,ATLÁNTICO,4
04/01/2017,CHOCÓ,1
04/01/2017,CUNDINAMARCA,6
04/01/2017,HUILA,1
04/01/2017,MAGDALENA,1
04/01/2017,META,1
04/01/2017,NARIÑO,4
04/01/2017,NORTE DE SANTANDER,5
04/01/2017,QUINDÍO,1
04/01/2017,RISARALDA,1
04/01/2017,SANTANDER,1
04/01/2017,VALLE,5
05/01/2017,ANTIOQUIA,5
05/01/2017,ATLÁNTICO,2
05/01/2017,BOLÍVAR,1
05/01/2017,CALDAS,1
05/01/2017,CAUCA,2
05/01/2017,CESAR,1
05/01/2017,CUNDINAMARCA,1
05/01/2017,CÓRDOBA,1
05/01/2017,GUAJIRA,1
05/01/2017,NARIÑO,2
05/01/2017,NORTE DE SANTANDER,1
05/01/2017,SUCRE,1
05/01/2017,VALLE,6
06/01/2017,ANTIOQUIA,6
06/01/2017,ATLÁNTICO,1
06/01/2017,BOYACÁ,1
06/01/2017,CAUCA,1
06/01/2017,CUNDINAMARCA,3
06/01/2017,HUILA,1
06/01/2017,NARIÑO,1
06/01/2017,RISARALDA,1
06/01/2017,SANTANDER,1
06/01/2017,TOLIMA,1
06/01/2017,VALLE,5
07/01/2017,ANTIOQUIA,5
07/01/2017,ATLÁNTICO,4
07/01/2017,BOYACÁ,1
07/01/2017,CALDAS,2
07/01/2017,CAQUETÁ,2
07/01/2017,CAUCA,1
07/01/2017,CESAR,1
07/01/2017,CHOCÓ,2
07/01/2017,CUNDINAMARCA,6
07/01/2017,MAGDALENA,1
07/01/2017,NARIÑO,2
07/01/2017,NORTE DE SANTANDER,2
07/01/2017,PUTUMAYO,1
07/01/2017,SUCRE,1
07/01/2017,TOLIMA,2
07/01/2017,VALLE,8
08/01/2017,ANTIOQUIA,5
08/01/2017,ATLÁNTICO,1
08/01/2017,BOLÍVAR,1
08/01/2017,CALDAS,1
08/01/2017,CASANARE,1
