Fecha,Sexo,CantidadTotal
01/01/2017,FEMENINO,4
01/01/2017,MASCULINO,91
02/01/2017,FEMENINO,1
02/01/2017,MASCULINO,27
03/01/2017,FEMENINO,2
03/01/2017,MASCULINO,33
04/01/2017,FEMENINO,3
04/01/2017,MASCULINO,34
05/01/2017,FEMENINO,1
05/01/2017,MASCULINO,24
06/01/2017,FEMENINO,1
06/01/2017,MASCULINO,21
07/01/2017,FEMENINO,2
07/01/2017,MASCULINO,39
08/01/2017,FEMENINO,2
08/01/2017,MASCULINO,34
09/01/2017,FEMENINO,4
09/01/2017,MASCULINO,30
10/01/2017,FEMENINO,5
10/01/2017,MASCULINO,17
11/01/2017,FEMENINO,1
11/01/2017,MASCULINO,26
12/01/2017,FEMENINO,1
12/01/2017,MASCULINO,30
13/01/2017,FEMENINO,2
13/01/2017,MASCULINO,19
14/01/2017,FEMENINO,6
14/01/2017,MASCULINO,55
15/01/2017,FEMENINO,2
15/01/2017,MASCULINO,47
16/01/2017,FEMENINO,5
16/01/2017,MASCULINO,25
17/01/2017,FEMENINO,3
17/01/2017,MASCULINO,21
18/01/2017,FEMENINO,1
18/01/2017,MASCULINO,13
19/01/2017,FEMENINO,2
19/01/2017,MASCULINO,21
20/01/2017,FEMENINO,1
20/01/2017,MASCULINO,37
21/01/2017,MASCULINO,23
22/01/2017,FEMENINO,5
22/01/2017,MASCULINO,36
23/01/2017,FEMENINO,4
23/01/2017,MASCULINO,33
24/01/2017,FEMENINO,2
24/01/2017,MASCULINO,30
25/01/2017,FEMENINO,2
25/01/2017,MASCULINO,26
26/01/2017,FEMENINO,2
26/01/2017,MASCULINO,25
27/01/2017,FEMENINO,2
27/01/2017,MASCULINO,29
28/01/2017,FEMENINO,3
28/01/2017,MASCULINO,30
29/01/2017,FEMENINO,3
29/01/2017,MASCULINO,45
30/01/2017,FEMENINO,1
30/01/2017,MASCULINO,21
31/01/2017,FEMENINO,4
31/01/2017,MASCULINO,23
01/02/2017,FEMENINO,4
01/02/2017,MASCULINO,18
02/02/2017,FEMENINO,4
02/02/2017,MASCULINO,31
03/02/2017,FEMENINO,4
03/02/2017,MASCULINO,28
04/02/2017,FEMENINO,3
04/02/2017,MASCULINO,39
05/02/2017,FEMENINO,3
05/02/2017,MASCULINO,42
06/02/2017,FEMENINO,1
06/02/2017,MASCULINO,31
07/02/2017,FEMENINO,1
07/02/2017,MASCULINO,28
08/02/2017,FEMENINO,1
08/02/2017,MASCULINO,23
09/02/2017,FEMENINO,1
09/02/2017,MASCULINO,18
10/02/2017,FEMENINO,6
10/02/2017,MASCULINO,25
11/02/2017,FEMENINO,3
11/02/2017,MASCULINO,26
12/02/2017,FEMENINO,3
12/02/2017,MASCULINO,42
13/02/2017,FEMENINO,4
13/02/2017,MASCULINO,27
14/02/2017,FEMENINO,6
14/02/2017,MASCULINO,21
15/02/2017,FEMENINO,5
15/02/2017,MASCULINO,26
16/02/2017,FEMENINO,4
16/02/2017,MASCULINO,20
17/02/2017,FEMENINO,2
17/02/2017,MASCULINO,24
18/02/2017,FEMENINO,3
18/02/2017,MASCULINO,38
19/02/2017,FEMENINO,1
19/02/2017,MASCULINO,53
20/02/2017,FEMENINO,1
20/02/2017,MASCULINO,26
21/02/2017,FEMENINO,3
21/02/2017,MASCULINO,23
22/02/2017,FEMENINO,2
22/02/2017,MASCULINO,21
23/02/2017,FEMENINO,4
23/02/2017,MASCULINO,20
24/02/2017,FEMENINO,1
24/02/2017,MASCULINO,26
25/02/2017,FEMENINO,5
25/02/2017,MASCULINO,38
26/02/2017,FEMENINO,4
26/02/2017,MASCULINO,39
27/02/2017,FEMENINO,1
27/02/2017,MASCULINO,27
28/02/2017,FEMENINO,2
28/02/2017,MASCULINO,18
01/03/2017,FEMENINO,1
01/03/2017,MASCULINO,22
02/03/2017,FEMENINO,5
02/03/2017,MASCULINO,22
03/03/2017,FEMENINO,2
03/03/2017,MASCULINO,23
04/03/2017,FEMENINO,3
04/03/2017,MASCULINO,32
05/03/2017,FEMENINO,5
05/03/2017,MASCULINO,53
06/03/2017,FEMENINO,1
06/03/2017,MASCULINO,33
07/03/2017,MASCULINO,22
08/03/2017,MASCULINO,17
09/03/2017,FEMENINO,4
09/03/2017,MASCULINO,18
10/03/2017,FEMENINO,1
10/03/2017,MASCULINO,26
11/03/2017,FEMENINO,1
11/03/2017,MASCULINO,31
12/03/2017,FEMENINO,7
12/03/2017,MASCULINO,49
13/03/2017,FEMENINO,3
13/03/2017,MASCULINO,35
14/03/2017,MASCULINO,18
15/03/2017,FEMENINO,2
15/03/2017,MASCULINO,16
16/03/2017,FEMENINO,1
16/03/2017,MASCULINO,8
17/03/2017,FEMENINO,5
17/03/2017,MASCULINO,24
18/03/2017,FEMENINO,3
18/03/2017,MASCULINO,27
19/03/2017,FEMENINO,5
19/03/2017,MASCULINO,44
20/03/2017,FEMENINO,4
20/03/2017,MASCULINO,25
21/03/2017,FEMENINO,4
21/03/2017,MASCULINO,21
22/03/2017,FEMENINO,4
22/03/2017,MASCULINO,26
23/03/2017,FEMENINO,2
23/03/2017,MASCULINO,28
24/03/2017,FEMENINO,1
24/03/2017,MASCULINO,28
25/03/2017,FEMENINO,3
25/03/2017,MASCULINO,30
26/03/2017,FEMENINO,4
26/03/2017,MASCULINO,39
27/03/2017,FEMENINO,3
27/03/2017,MASCULINO,32
28/03/2017,MASCULINO,26
29/03/2017,FEMENINO,2
29/03/2017,MASCULINO,19
30/03/2017,FEMENINO,2
30/03/2017,MASCULINO,16
31/03/2017,MASCULINO,24
01/04/2017,FEMENINO,2
01/04/2017,MASCULINO,28
02/04/2017,FEMENINO,7
02/04/2017,MASCULINO,61
03/04/2017,FEMENINO,4
03/04/2017,MASCULINO,33
04/04/2017,FEMENINO,3
04/04/2017,MASCULINO,22
05/04/2017,FEMENINO,2
05/04/2017,MASCULINO,21
06/04/2017,FEMENINO,5
06/04/2017,MASCULINO,29
07/04/2017,FEMENINO,5
07/04/2017,MASCULINO,35
08/04/2017,FEMENINO,7
08/04/2017,MASCULINO,23
09/04/2017,FEMENINO,3
09/04/2017,MASCULINO,40
10/04/2017,FEMENINO,2
10/04/2017,MASCULINO,32
11/04/2017,FEMENINO,3
11/04/2017,MASCULINO,25
