Fecha,CantidadTotal
01/01/2017,95
02/01/2017,28
03/01/2017,35
04/01/2017,37
05/01/2017,25
06/01/2017,22
07/01/2017,41
08/01/2017,36
09/01/2017,34
10/01/2017,22
11/01/2017,27
12/01/2017,31
13/01/2017,21
14/01/2017,61
15/01/2017,49
16/01/2017,30
17/01/2017,24
18/01/2017,14
19/01/2017,23
20/01/2017,38
21/01/2017,23
22/01/2017,41
23/01/2017,37
24/01/2017,32
25/01/2017,28
26/01/2017,27
27/01/2017,31
28/01/2017,33
29/01/2017,48
30/01/2017,22
31/01/2017,27
01/02/2017,22
02/02/2017,35
03/02/2017,32
04/02/2017,42
05/02/2017,45
06/02/2017,32
07/02/2017,29
08/02/2017,24
09/02/2017,19
10/02/2017,31
11/02/2017,29
12/02/2017,45
13/02/2017,31
14/02/2017,27
15/02/2017,31
16/02/2017,24
17/02/2017,26
18/02/2017,41
19/02/2017,54
20/02/2017,27
21/02/2017,26
22/02/2017,23
23/02/2017,24
24/02/2017,27
25/02/2017,43
26/02/2017,43
27/02/2017,28
28/02/2017,20
01/03/2017,23
02/03/2017,27
03/03/2017,25
04/03/2017,35
05/03/2017,58
06/03/2017,34
07/03/2017,22
08/03/2017,17
09/03/2017,22
10/03/2017,27
11/03/2017,32
12/03/2017,56
13/03/2017,38
14/03/2017,18
15/03/2017,18
16/03/2017,9
17/03/2017,29
18/03/2017,30
19/03/2017,49
20/03/2017,29
21/03/2017,25
22/03/2017,30
23/03/2017,30
24/03/2017,29
25/03/2017,33
26/03/2017,43
27/03/2017,35
28/03/2017,26
29/03/2017,21
30/03/2017,18
31/03/2017,24
01/04/2017,30
02/04/2017,68
03/04/2017,37
04/04/2017,25
05/04/2017,23
06/04/2017,34
07/04/2017,40
08/04/2017,30
09/04/2017,43
10/04/2017,34
11/04/2017,28
12/04/2017,18
13/04/2017,25
14/04/2017,19
15/04/2017,19
16/04/2017,41
17/04/2017,40
18/04/2017,26
19/04/2017,32
20/04/2017,20
21/04/2017,28
22/04/2017,48
23/04/2017,58
24/04/2017,29
25/04/2017,21
26/04/2017,30
27/04/2017,33
28/04/2017,24
29/04/2017,41
30/04/2017,50
01/05/2017,38
02/05/2017,39
03/05/2017,32
04/05/2017,24
05/05/2017,29
06/05/2017,28
07/05/2017,48
08/05/2017,29
09/05/2017,23
10/05/2017,24
11/05/2017,14
12/05/2017,31
13/05/2017,37
14/05/2017,53
15/05/2017,28
16/05/2017,34
17/05/2017,22
18/05/2017,28
19/05/2017,35
20/05/2017,41
21/05/2017,64
22/05/2017,31
23/05/2017,28
24/05/2017,29
25/05/2017,34
26/05/2017,29
27/05/2017,35
28/05/2017,45
29/05/2017,48
30/05/2017,27
31/05/2017,34
01/06/2017,28
02/06/2017,29
03/06/2017,48
04/06/2017,44
05/06/2017,29
06/06/2017,22
07/06/2017,27
08/06/2017,18
09/06/2017,20
10/06/2017,44
11/06/2017,34
12/06/2017,28
13/06/2017,28
14/06/2017,22
15/06/2017,26
16/06/2017,30
17/06/2017,28
18/06/2017,49
19/06/2017,38
20/06/2017,23
21/06/2017,24
22/06/2017,14
23/06/2017,26
24/06/2017,27
25/06/2017,51
26/06/2017,29
27/06/2017,33
28/06/2017,19
29/06/2017,29
30/06/2017,31
01/07/2017,44
02/07/2017,69
03/07/2017,38
04/07/2017,22
05/07/2017,26
06/07/2017,18
07/07/2017,27
08/07/2017,58
09/07/2017,50
10/07/2017,28
11/07/2017,26
12/07/2017,27
13/07/2017,30
14/07/2017,26
15/07/2017,29
16/07/2017,73
17/07/2017,41
18/07/2017,22
19/07/2017,32
20/07/2017,24
21/07/2017,31
22/07/2017,30
23/07/2017,57
24/07/2017,34
25/07/2017,25
26/07/2017,23
27/07/2017,40
28/07/2017,28
29/07/2017,33
30/07/2017,46
31/07/2017,23
01/08/2017,23
02/08/2017,35
03/08/2017,21
04/08/2017,37
05/08/2017,45
06/08/2017,51
07/08/2017,36
08/08/2017,27
09/08/2017,27
10/08/2017,29
11/08/2017,15
12/08/2017,35
13/08/2017,51
14/08/2017,33
15/08/2017,24
16/08/2017,24
17/08/2017,33
18/08/2017,20
19/08/2017,29
20/08/2017,43
21/08/2017,35
22/08/2017,19
23/08/2017,28
24/08/2017,34
25/08/2017,23
26/08/2017,24
27/08/2017,48
28/08/2017,26
29/08/2017,16
30/08/2017,32
31/08/2017,31
01/09/2017,33
02/09/2017,31
03/09/2017,49
04/09/2017,34
05/09/2017,24
06/09/2017,24
07/09/2017,26
08/09/2017,31
09/09/2017,31
10/09/2017,40
11/09/2017,37
12/09/2017,25
13/09/2017,24
14/09/2017,24
15/09/2017,26
16/09/2017,46
17/09/2017,51
18/09/2017,35
19/09/2017,28
20/09/2017,21
21/09/2017,27
22/09/2017,25
23/09/2017,32
24/09/2017,42
25/09/2017,32
26/09/2017,24
27/09/2017,28
28/09/2017,21
29/09/2017,21
30/09/2017,24
01/10/2017,59
02/10/2017,26
