name,Fecha,CantidadTotal
Homicidios,01/01/2017,95
Homicidios,02/01/2017,28
Homicidios,03/01/2017,35
Homicidios,04/01/2017,37
Homicidios,05/01/2017,25
Homicidios,06/01/2017,22
Homicidios,07/01/2017,41
Homicidios,08/01/2017,36
Homicidios,09/01/2017,34
Homicidios,10/01/2017,22
Homicidios,11/01/2017,27
Homicidios,12/01/2017,31
Homicidios,13/01/2017,21
Homicidios,14/01/2017,61
Homicidios,15/01/2017,49
Homicidios,16/01/2017,30
Homicidios,17/01/2017,24
Homicidios,18/01/2017,14
Homicidios,19/01/2017,23
Homicidios,20/01/2017,38
Homicidios,21/01/2017,23
Homicidios,22/01/2017,41
Homicidios,23/01/2017,37
Homicidios,24/01/2017,32
Homicidios,25/01/2017,28
Homicidios,26/01/2017,27
Homicidios,27/01/2017,31
Homicidios,28/01/2017,33
Homicidios,29/01/2017,48
Homicidios,30/01/2017,22
Homicidios,31/01/2017,27
Homicidios,01/02/2017,22
Homicidios,02/02/2017,35
Homicidios,03/02/2017,32
Homicidios,04/02/2017,42
Homicidios,05/02/2017,45
Homicidios,06/02/2017,32
Homicidios,07/02/2017,29
Homicidios,08/02/2017,24
Homicidios,09/02/2017,19
Homicidios,10/02/2017,31
Homicidios,11/02/2017,29
Homicidios,12/02/2017,45
Homicidios,13/02/2017,31
Homicidios,14/02/2017,27
Homicidios,15/02/2017,31
Homicidios,16/02/2017,24
Homicidios,17/02/2017,26
Homicidios,18/02/2017,41
Homicidios,19/02/2017,54
Homicidios,20/02/2017,27
Homicidios,21/02/2017,26
Homicidios,22/02/2017,23
Homicidios,23/02/2017,24
Homicidios,24/02/2017,27
Homicidios,25/02/2017,43
Homicidios,26/02/2017,43
Homicidios,27/02/2017,28
Homicidios,28/02/2017,20
Homicidios,01/03/2017,23
Homicidios,02/03/2017,27
Homicidios,03/03/2017,25
Homicidios,04/03/2017,35
Homicidios,05/03/2017,58
Homicidios,06/03/2017,34
Homicidios,07/03/2017,22
Homicidios,08/03/2017,17
Homicidios,09/03/2017,22
Homicidios,10/03/2017,27
Homicidios,11/03/2017,32
Homicidios,12/03/2017,56
Homicidios,13/03/2017,38
Homicidios,14/03/2017,18
Homicidios,15/03/2017,18
Homicidios,16/03/2017,9
Homicidios,17/03/2017,29
Homicidios,18/03/2017,30
Homicidios,19/03/2017,49
Homicidios,20/03/2017,29
Homicidios,21/03/2017,25
Homicidios,22/03/2017,30
Homicidios,23/03/2017,30
Homicidios,24/03/2017,29
Homicidios,25/03/2017,33
Homicidios,26/03/2017,43
Homicidios,27/03/2017,35
Homicidios,28/03/2017,26
Homicidios,29/03/2017,21
Homicidios,30/03/2017,18
Homicidios,31/03/2017,24
Homicidios,01/04/2017,30
Homicidios,02/04/2017,68
Homicidios,03/04/2017,37
Homicidios,04/04/2017,25
Homicidios,05/04/2017,23
Homicidios,06/04/2017,34
Homicidios,07/04/2017,40
