CLASE DE SITIO,BASE DE COCA,BASUCO,COCAINA,HEROINA,MARIHUANA
AEROPUERTO,1.0,,,1.0,3.0
ALTAMAR,,,14.0,1.0,
BODEGAS Y SIMILARES,,,,,1.0
BOSQUES,,,,,2.0
CARRETERA,37.0,23.0,11.0,7.0,70.0
CASAS DE HABITACION,2.0,8.0,1.0,,7.0
CONSTRUCCION,,,,,1.0
EMPRESA,,,1.0,1.0,
FINCAS Y SIMILARES,,,,,1.0
LABORATORIO DE BASE,28.0,,,,
LABORATORIO DE CRISTALIZACION,3.0,,9.0,,
LOTE BALDIO,,1.0,,,
MUELLE,,,1.0,,
OFICINAS,,,,,1.0
PARQUEADERO,,,,,1.0
PARQUES,,1.0,,,
PEAJE,,,,1.0,
PUERTO,,,6.0,,
PUESTO DE CONTROL,1.0,1.0,1.0,,8.0
RIOS,,2.0,3.0,,
TALLERES MECANICA,,,1.0,,
TRAMO DE VIA,6.0,5.0,5.0,3.0,35.0
VIAS PUBLICAS,281.0,1283.0,147.0,27.0,223.0
ZONA SELVÁTICA,1.0,2.0,,,2.0
