"mo","le","ite","type_est","modulo","course_branch_lesson_name","item","course_item_type_desc","part_modulo","part_leccion","part_item","prom_intentos","prom_act_aprendizaje","completitud_modulo","completitud_lec"
Mod 0,Mod 0-Les 0,Mod 0-Les 0-Ite 0,A,Bienvenida,Bienvenida al curso,Bienvenida,lecture,139,139,134,,,0.89,0.89
Mod 0,Mod 0-Les 0,Mod 0-Les 0-Ite 1,A,Bienvenida,Bienvenida al curso,Presentación del curso,others,139,139,138,,,0.89,0.89
Mod 0,Mod 0-Les 0,Mod 0-Les 0-Ite 2,A,Bienvenida,Bienvenida al curso,Introducción al curso,lecture,139,139,125,,,0.89,0.89
Mod 0,Mod 0-Les 0,Mod 0-Les 0-Ite 3,A,Bienvenida,Bienvenida al curso,Recomendaciones para el éxito,others,139,139,138,,,0.89,0.89
Mod 1,Mod 1-Les 0,Mod 1-Les 0-Ite 0,A,Números naturales y sistemas de numeración,Origen de los números naturales,Origen de los números naturales,lecture,120,119,116,,,0.58,0.83
Mod 1,Mod 1-Les 0,Mod 1-Les 0-Ite 1,A,Números naturales y sistemas de numeración,Origen de los números naturales,Mapa conceptual del origen de los números naturales,supplement,120,119,,,,0.58,0.83
Mod 1,Mod 1-Les 0,Mod 1-Les 0-Ite 2,A,Números naturales y sistemas de numeración,Origen de los números naturales,¿Qué sabes del número natural?,quiz,120,119,113,,,0.58,0.83
Mod 1,Mod 1-Les 0,Mod 1-Les 0-Ite 3,A,Números naturales y sistemas de numeración,Origen de los números naturales,Historia de los números naturales,lecture,120,119,107,,,0.58,0.83
Mod 1,Mod 1-Les 0,Mod 1-Les 0-Ite 4,A,Números naturales y sistemas de numeración,Origen de los números naturales,Mapa conceptual de la historia de los números naturales,supplement,120,119,,,,0.58,0.83
Mod 1,Mod 1-Les 0,Mod 1-Les 0-Ite 5,A,Números naturales y sistemas de numeración,Origen de los números naturales,Relación de correspondencia,quiz,120,119,102,,,0.58,0.83
Mod 1,Mod 1-Les 0,Mod 1-Les 0-Ite 6,A,Números naturales y sistemas de numeración,Origen de los números naturales,Los enchufes (actividad de aprendizaje),ungraded lti,120,119,24,,1.00,0.58,0.83
Mod 1,Mod 1-Les 1,Mod 1-Les 1-Ite 0,A,Números naturales y sistemas de numeración,Usos de los números naturales,¿En qué se  diferencian cuantificar y contar?,lecture,120,91,90,,,0.58,0.81
Mod 1,Mod 1-Les 1,Mod 1-Les 1-Ite 1,A,Números naturales y sistemas de numeración,Usos de los números naturales,Mapa conceptual de los usos de los números naturales,supplement,120,91,,,,0.58,0.81
Mod 1,Mod 1-Les 1,Mod 1-Les 1-Ite 2,A,Números naturales y sistemas de numeración,Usos de los números naturales,Compra - venta (actividad de aprendizaje),ungraded lti,120,91,16,,1.00,0.58,0.81
Mod 1,Mod 1-Les 1,Mod 1-Les 1-Ite 3,A,Números naturales y sistemas de numeración,Usos de los números naturales,Número de identificación (actividad de aprendizaje),ungraded lti,120,91,8,,1.00,0.58,0.81
Mod 1,Mod 1-Les 2,Mod 1-Les 2-Ite 0,A,Números naturales y sistemas de numeración,Cuantificación: principios de conteo,¿Sabes cuántos pasos sigues para contar?,quiz,120,85,79,,,0.58,0.80
Mod 1,Mod 1-Les 2,Mod 1-Les 2-Ite 1,A,Números naturales y sistemas de numeración,Cuantificación: principios de conteo,¿Qué  hacemos  cuando  contamos?,lecture,120,85,82,,,0.58,0.80
Mod 1,Mod 1-Les 2,Mod 1-Les 2-Ite 2,A,Números naturales y sistemas de numeración,Cuantificación: principios de conteo,Mapa conceptual de los principios del conteo,supplement,120,85,,,,0.58,0.80
Mod 1,Mod 1-Les 2,Mod 1-Les 2-Ite 3,A,Números naturales y sistemas de numeración,Cuantificación: principios de conteo,Secuencias de conteo (actividad de aprendizaje),ungraded lti,120,85,1,,1.00,0.58,0.80
Mod 1,Mod 1-Les 2,Mod 1-Les 2-Ite 4,A,Números naturales y sistemas de numeración,Cuantificación: principios de conteo,Error de conteo de un niño (actividad de aprendizaje),ungraded lti,120,85,14,,1.00,0.58,0.80
Mod 1,Mod 1-Les 3,Mod 1-Les 3-Ite 0,A,Números naturales y sistemas de numeración,Representación de los números naturales,¿Qué es y cómo se representa un número?,quiz,120,73,63,,,0.58,0.79
Mod 1,Mod 1-Les 3,Mod 1-Les 3-Ite 1,A,Números naturales y sistemas de numeración,Representación de los números naturales,Pensemos  en  diferentes  formas de  expresar el  número  tres,lecture,120,73,70,,,0.58,0.79
Mod 1,Mod 1-Les 3,Mod 1-Les 3-Ite 2,A,Números naturales y sistemas de numeración,Representación de los números naturales,Mapa conceptual de las representaciones de los números naturales,supplement,120,73,,,,0.58,0.79
Mod 1,Mod 1-Les 3,Mod 1-Les 3-Ite 3,A,Números naturales y sistemas de numeración,Representación de los números naturales,Formas de representar un número (actividad de aprendizaje),ungraded lti,120,73,4,,1.00,0.58,0.79
Mod 1,Mod 1-Les 4,Mod 1-Les 4-Ite 0,A,Números naturales y sistemas de numeración,Sistema decimal de numeración,¿Qué es el  sistema  decimal de  numeración  ?,lecture,120,80,66,,,0.58,0.69
Mod 1,Mod 1-Les 4,Mod 1-Les 4-Ite 1,A,Números naturales y sistemas de numeración,Sistema decimal de numeración,Mapa conceptual del sistema decimal de numeración,supplement,120,80,,,,0.58,0.69
