ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10000092,HY189866,03/18/2015 07:44:00 PM,047XX W OHIO ST,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,1111.00,11.00,28.00,25,04B,1144606,1903566,2015,02/10/2018 15:50,41.89139886,-87.74438457,"(41.891398861, -87.744384567)"
10000094,HY190059,03/18/2015 11:00:00 PM,066XX S MARSHFIELD AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,true,false,725.00,7.00,15.00,67,26,1166468,1860715,2015,02/10/2018 15:50,41.77337153,-87.66531947,"(41.773371528, -87.665319468)"
10000095,HY190052,03/18/2015 10:45:00 PM,044XX S LAKE PARK AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,222.00,2.00,4.00,39,08B,1185075,1875622,2015,02/10/2018 15:50,41.81386068,-87.59664284,"(41.81386068, -87.596642837)"
10000096,HY190054,03/18/2015 10:30:00 PM,051XX S MICHIGAN AVE,460,BATTERY,SIMPLE,APARTMENT,false,false,225.00,2.00,3.00,40,08B,1178033,1870804,2015,02/10/2018 15:50,41.80080242,-87.62261934,"(41.800802415, -87.622619343)"
10000097,HY189976,03/18/2015 09:00:00 PM,047XX W ADAMS ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,1113.00,11.00,28.00,25,3,1144920,1898709,2015,02/10/2018 15:50,41.87806476,-87.74335401,"(41.878064761, -87.743354013)"
10000098,HY190032,03/18/2015 10:00:00 PM,049XX S DREXEL BLVD,460,BATTERY,SIMPLE,APARTMENT,false,false,223.00,2.00,4.00,39,08B,1183018,1872537,2015,02/10/2018 15:50,41.80544335,-87.60428398,"(41.805443345, -87.604283976)"
10000099,HY190047,03/18/2015 11:00:00 PM,070XX S MORGAN ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,733.00,7.00,17.00,68,08B,1170859,1858210,2015,02/10/2018 15:50,41.76640278,-87.64929612,"(41.766402779, -87.649296123)"
10000100,HY189988,03/18/2015 09:35:00 PM,042XX S PRAIRIE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,213.00,2.00,3.00,38,08B,1178746,1876914,2015,02/10/2018 15:50,41.81755258,-87.61981852,"(41.817552577, -87.619818523)"
10000101,HY190020,03/18/2015 10:09:00 PM,036XX S WOLCOTT AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,912.00,9.00,11.00,59,18,1164279,1880656,2015,02/10/2018 15:50,41.82813843,-87.67278211,"(41.828138428, -87.672782106)"
10000104,HY189964,03/18/2015 09:25:00 PM,097XX S PRAIRIE AVE,460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,511.00,5.00,6.00,49,08B,1179637,1840444,2015,02/10/2018 15:50,41.71745472,-87.61766326,"(41.71745472, -87.617663257)"
10000105,HY189984,03/18/2015 09:30:00 PM,130XX S DR MARTIN LUTHER KING JR DR,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,533.00,5.00,9.00,54,14,1180907,1818839,2015,02/10/2018 15:50,41.65813849,-87.61367286,"(41.658138493, -87.613672862)"
10000108,HY189719,03/15/2015 04:10:00 PM,078XX S VINCENNES AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,CTA GARAGE / OTHER PROPERTY,false,true,623.00,6.00,17.00,69,26,1175130,1853144,2015,02/10/2018 15:50,41.7524068,-87.63379238,"(41.752406801, -87.633792381)"
10000109,HY189966,03/18/2015 09:14:00 PM,086XX S EXCHANGE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,DRIVEWAY - RESIDENTIAL,true,false,423.00,4.00,10.00,46,15,1197309,1848290,2015,02/10/2018 15:50,41.73856347,-87.55267859,"(41.738563465, -87.552678593)"
10000110,HY190056,03/18/2015 10:50:00 PM,014XX S ASHLAND AVE,460,BATTERY,SIMPLE,SIDEWALK,false,false,1233.00,12.00,2.00,28,08B,1165950,1893388,2015,02/10/2018 15:50,41.86304084,-87.66628856,"(41.86304084, -87.666288555)"
10000111,HY190019,03/18/2015 10:31:00 PM,051XX W CHICAGO AVE,860,THEFT,RETAIL THEFT,GAS STATION,true,false,1531.00,15.00,37.00,25,6,1141741,1904839,2015,02/10/2018 15:50,41.89494561,-87.75487498,"(41.894945606, -87.754874977)"
10000112,HY189725,03/18/2015 12:55:00 PM,077XX S KINGSTON AVE,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,421.00,4.00,7.00,43,5,1194535,1854110,2015,02/10/2018 15:50,41.75460262,-87.56265074,"(41.754602618, -87.562650741)"
10000114,HY190071,03/18/2015 08:00:00 PM,024XX W NORTH AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER,false,false,1423.00,14.00,1.00,24,7,1159959,1910569,2015,02/10/2018 15:50,41.91031265,-87.68780649,"(41.910312648, -87.687806494)"
10000115,HY190036,03/18/2015 09:00:00 PM,069XX S LOOMIS BLVD,890,THEFT,FROM BUILDING,GROCERY FOOD STORE,false,false,734.00,7.00,17.00,67,6,1168192,1858832,2015,02/10/2018 15:50,41.76816741,-87.6590538,"(41.768167414, -87.659053795)"
10000116,HY190063,03/18/2015 10:56:00 PM,105XX S LAFAYETTE AVE,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,ALLEY,true,false,512.00,5.00,34.00,49,24,1177790,1835106,2015,02/10/2018 15:50,41.70284845,-87.62458893,"(41.70284845, -87.624588931)"
10000117,HY190068,03/18/2015 10:45:00 PM,087XX S KIMBARK AVE,890,THEFT,FROM BUILDING,BAR OR TAVERN,false,false,412.00,4.00,8.00,48,6,1186312,1847473,2015,02/10/2018 15:50,41.73658821,-87.59299436,"(41.736588206, -87.59299436)"
10000118,HY190031,03/18/2015 10:00:00 PM,075XX S STONY ISLAND AVE,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,411.00,4.00,5.00,43,6,1188123,1855151,2015,02/10/2018 15:50,41.75761443,-87.58611527,"(41.757614433, -87.586115266)"
10581023,HZ329792,09/01/2014 8:00,0000X E LAKE ST,1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,OTHER,true,false,111.00,1.00,42.00,32,12,,,2014,03/01/2018 15:52,,,
10000119,HY190072,03/18/2015 11:55:00 PM,054XX N KENMORE AVE,320,ROBBERY,STRONGARM - NO WEAPON,OTHER,false,false,2023.00,20.00,48.00,77,3,1168270,1936260,2015,02/10/2018 15:50,41.98063416,-87.65653,"(41.980634157, -87.656529996)"
10000120,HY190073,03/18/2015 11:40:00 PM,078XX S CREGIER AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,false,false,414.00,4.00,8.00,43,04B,1189564,1853354,2015,02/10/2018 15:50,41.75264884,-87.58089187,"(41.752648838, -87.580891872)"
10000123,HY189969,03/18/2015 09:44:00 PM,0000X N CENTRAL AVE,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,VEHICLE NON-COMMERCIAL,true,false,1513.00,15.00,29.00,25,15,1139051,1899715,2015,02/10/2018 15:50,41.88093404,-87.76487944,"(41.880934043, -87.764879438)"
10000124,HY190060,03/18/2015 11:30:00 PM,024XX S BELL AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,1034.00,10.00,25.00,31,08B,1161687,1887883,2015,02/10/2018 15:50,41.8480244,-87.68209088,"(41.848024395, -87.682090877)"
10000126,HY190035,03/18/2015 10:45:00 PM,003XX E 59TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,232.00,2.00,20.00,40,08B,1179208,1865959,2015,02/10/2018 15:50,41.78748054,-87.61845802,"(41.787480544, -87.618458018)"
10000127,HY190027,03/18/2015 10:33:00 PM,091XX S RACINE AVE,560,ASSAULT,SIMPLE,RESIDENCE,false,false,2222.00,22.00,21.00,73,08A,1169928,1844242,2015,02/10/2018 15:50,41.72809296,-87.65311332,"(41.72809296, -87.653113317)"
10000129,HY190096,03/19/2015 01:20:00 AM,078XX S EMERALD AVE,460,BATTERY,SIMPLE,APARTMENT,false,false,621.00,6.00,17.00,71,08B,1172661,1852870,2015,02/10/2018 15:50,41.75170964,-87.64284824,"(41.751709641, -87.642848244)"
10000130,HY190003,03/18/2015 09:59:00 PM,086XX S CARPENTER ST,041A,BATTERY,AGGRAVATED: HANDGUN,RESIDENCE PORCH/HALLWAY,false,false,613.00,6.00,21.00,71,04B,1170826,1847542,2015,02/10/2018 15:50,41.7371291,-87.64972776,"(41.737129104, -87.649727762)"
10000131,HY190101,03/19/2015 01:28:00 AM,022XX E 103RD ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,PARKING LOT/GARAGE(NON.RESID.),true,false,434.00,4.00,10.00,51,26,1192874,1837123,2015,02/10/2018 15:50,41.70802939,-87.56929028,"(41.708029389, -87.569290282)"
10000133,HY190085,03/19/2015 12:05:00 AM,057XX S WESTERN AVE,312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,false,false,824.00,8.00,16.00,63,3,1161348,1866644,2015,02/10/2018 15:50,41.78974911,-87.68392414,"(41.789749112, -87.683924139)"
10000134,HY190091,03/19/2015 12:35:00 AM,041XX W BELMONT AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,FACTORY/MANUFACTURING BUILDING,true,false,1731.00,17.00,31.00,16,14,1148335,1920959,2015,02/10/2018 15:50,41.93905588,-87.7302404,"(41.939055884, -87.730240399)"
