name,Fecha,Departamento,CantidadTotal
Homicidios,01/01/2017,AMAZONAS,1
Homicidios,01/01/2017,ANTIOQUIA,13
Homicidios,01/01/2017,ATLÁNTICO,7
Homicidios,01/01/2017,BOYACÁ,1
Homicidios,01/01/2017,CALDAS,1
Homicidios,01/01/2017,CAQUETÁ,3
Homicidios,01/01/2017,CAUCA,13
Homicidios,01/01/2017,CESAR,1
Homicidios,01/01/2017,CUNDINAMARCA,12
Homicidios,01/01/2017,CÓRDOBA,1
Homicidios,01/01/2017,GUAJIRA,1
Homicidios,01/01/2017,HUILA,5
Homicidios,01/01/2017,MAGDALENA,2
Homicidios,01/01/2017,META,1
Homicidios,01/01/2017,NARIÑO,5
Homicidios,01/01/2017,NORTE DE SANTANDER,5
Homicidios,01/01/2017,PUTUMAYO,2
Homicidios,01/01/2017,QUINDÍO,1
Homicidios,01/01/2017,RISARALDA,3
Homicidios,01/01/2017,SANTANDER,2
Homicidios,01/01/2017,TOLIMA,2
Homicidios,01/01/2017,VALLE,13
Homicidios,02/01/2017,ANTIOQUIA,4
Homicidios,02/01/2017,ATLÁNTICO,2
Homicidios,02/01/2017,BOLÍVAR,2
Homicidios,02/01/2017,CAUCA,3
Homicidios,02/01/2017,CUNDINAMARCA,4
Homicidios,02/01/2017,CÓRDOBA,1
Homicidios,02/01/2017,META,1
Homicidios,02/01/2017,QUINDÍO,2
Homicidios,02/01/2017,RISARALDA,3
Homicidios,02/01/2017,TOLIMA,1
Homicidios,02/01/2017,VALLE,5
Homicidios,03/01/2017,ANTIOQUIA,1
Homicidios,03/01/2017,ATLÁNTICO,7
Homicidios,03/01/2017,BOLÍVAR,1
Homicidios,03/01/2017,CALDAS,2
Homicidios,03/01/2017,CAUCA,1
Homicidios,03/01/2017,CUNDINAMARCA,1
Homicidios,03/01/2017,GUAJIRA,2
Homicidios,03/01/2017,HUILA,1
Homicidios,03/01/2017,NARIÑO,2
Homicidios,03/01/2017,NORTE DE SANTANDER,2
Homicidios,03/01/2017,PUTUMAYO,1
Homicidios,03/01/2017,QUINDÍO,1
Homicidios,03/01/2017,RISARALDA,1
Homicidios,03/01/2017,SANTANDER,2
Homicidios,03/01/2017,VALLE,10
Homicidios,04/01/2017,ANTIOQUIA,6
Homicidios,04/01/2017,ATLÁNTICO,4
Homicidios,04/01/2017,CHOCÓ,1
Homicidios,04/01/2017,CUNDINAMARCA,6
Homicidios,04/01/2017,HUILA,1
Homicidios,04/01/2017,MAGDALENA,1
Homicidios,04/01/2017,META,1
Homicidios,04/01/2017,NARIÑO,4
Homicidios,04/01/2017,NORTE DE SANTANDER,5
Homicidios,04/01/2017,QUINDÍO,1
Homicidios,04/01/2017,RISARALDA,1
Homicidios,04/01/2017,SANTANDER,1
Homicidios,04/01/2017,VALLE,5
Homicidios,05/01/2017,ANTIOQUIA,5
Homicidios,05/01/2017,ATLÁNTICO,2
Homicidios,05/01/2017,BOLÍVAR,1
Homicidios,05/01/2017,CALDAS,1
Homicidios,05/01/2017,CAUCA,2
Homicidios,05/01/2017,CESAR,1
Homicidios,05/01/2017,CUNDINAMARCA,1
Homicidios,05/01/2017,CÓRDOBA,1
Homicidios,05/01/2017,GUAJIRA,1
Homicidios,05/01/2017,NARIÑO,2
Homicidios,05/01/2017,NORTE DE SANTANDER,1
Homicidios,05/01/2017,SUCRE,1
Homicidios,05/01/2017,VALLE,6
Homicidios,06/01/2017,ANTIOQUIA,6
Homicidios,06/01/2017,ATLÁNTICO,1
Homicidios,06/01/2017,BOYACÁ,1
Homicidios,06/01/2017,CAUCA,1
Homicidios,06/01/2017,CUNDINAMARCA,3
Homicidios,06/01/2017,HUILA,1
Homicidios,06/01/2017,NARIÑO,1
Homicidios,06/01/2017,RISARALDA,1
Homicidios,06/01/2017,SANTANDER,1
Homicidios,06/01/2017,TOLIMA,1
Homicidios,06/01/2017,VALLE,5
Homicidios,07/01/2017,ANTIOQUIA,5
Homicidios,07/01/2017,ATLÁNTICO,4
Homicidios,07/01/2017,BOYACÁ,1
Homicidios,07/01/2017,CALDAS,2
Homicidios,07/01/2017,CAQUETÁ,2
Homicidios,07/01/2017,CAUCA,1
Homicidios,07/01/2017,CESAR,1
Homicidios,07/01/2017,CHOCÓ,2
Homicidios,07/01/2017,CUNDINAMARCA,6
Homicidios,07/01/2017,MAGDALENA,1
Homicidios,07/01/2017,NARIÑO,2
Homicidios,07/01/2017,NORTE DE SANTANDER,2
Homicidios,07/01/2017,PUTUMAYO,1
Homicidios,07/01/2017,SUCRE,1
Homicidios,07/01/2017,TOLIMA,2
Homicidios,07/01/2017,VALLE,8
Homicidios,08/01/2017,ANTIOQUIA,5
Homicidios,08/01/2017,ATLÁNTICO,1
Homicidios,08/01/2017,BOLÍVAR,1
Homicidios,08/01/2017,CALDAS,1
Homicidios,08/01/2017,CASANARE,1
Homicidios,08/01/2017,CAUCA,2
Homicidios,08/01/2017,CUNDINAMARCA,7
Homicidios,08/01/2017,GUAJIRA,2
Homicidios,08/01/2017,HUILA,2
Homicidios,08/01/2017,NORTE DE SANTANDER,1
Homicidios,08/01/2017,RISARALDA,1
Homicidios,08/01/2017,SANTANDER,2
