name,Fecha,Sexo,CantidadTotal
Homicidios,01/01/2017,FEMENINO,4
Homicidios,01/01/2017,MASCULINO,91
Homicidios,02/01/2017,FEMENINO,1
Homicidios,02/01/2017,MASCULINO,27
Homicidios,03/01/2017,FEMENINO,2
Homicidios,03/01/2017,MASCULINO,33
Homicidios,04/01/2017,FEMENINO,3
Homicidios,04/01/2017,MASCULINO,34
Homicidios,05/01/2017,FEMENINO,1
Homicidios,05/01/2017,MASCULINO,24
Homicidios,06/01/2017,FEMENINO,1
Homicidios,06/01/2017,MASCULINO,21
Homicidios,07/01/2017,FEMENINO,2
Homicidios,07/01/2017,MASCULINO,39
Homicidios,08/01/2017,FEMENINO,2
Homicidios,08/01/2017,MASCULINO,34
Homicidios,09/01/2017,FEMENINO,4
Homicidios,09/01/2017,MASCULINO,30
Homicidios,10/01/2017,FEMENINO,5
Homicidios,10/01/2017,MASCULINO,17
Homicidios,11/01/2017,FEMENINO,1
Homicidios,11/01/2017,MASCULINO,26
Homicidios,12/01/2017,FEMENINO,1
Homicidios,12/01/2017,MASCULINO,30
Homicidios,13/01/2017,FEMENINO,2
Homicidios,13/01/2017,MASCULINO,19
Homicidios,14/01/2017,FEMENINO,6
Homicidios,14/01/2017,MASCULINO,55
Homicidios,15/01/2017,FEMENINO,2
Homicidios,15/01/2017,MASCULINO,47
Homicidios,16/01/2017,FEMENINO,5
Homicidios,16/01/2017,MASCULINO,25
Homicidios,17/01/2017,FEMENINO,3
Homicidios,17/01/2017,MASCULINO,21
Homicidios,18/01/2017,FEMENINO,1
Homicidios,18/01/2017,MASCULINO,13
Homicidios,19/01/2017,FEMENINO,2
Homicidios,19/01/2017,MASCULINO,21
Homicidios,20/01/2017,FEMENINO,1
Homicidios,20/01/2017,MASCULINO,37
Homicidios,21/01/2017,MASCULINO,23
Homicidios,22/01/2017,FEMENINO,5
Homicidios,22/01/2017,MASCULINO,36
Homicidios,23/01/2017,FEMENINO,4
Homicidios,23/01/2017,MASCULINO,33
Homicidios,24/01/2017,FEMENINO,2
Homicidios,24/01/2017,MASCULINO,30
Homicidios,25/01/2017,FEMENINO,2
Homicidios,25/01/2017,MASCULINO,26
Homicidios,26/01/2017,FEMENINO,2
Homicidios,26/01/2017,MASCULINO,25
Homicidios,27/01/2017,FEMENINO,2
Homicidios,27/01/2017,MASCULINO,29
Homicidios,28/01/2017,FEMENINO,3
Homicidios,28/01/2017,MASCULINO,30
Homicidios,29/01/2017,FEMENINO,3
Homicidios,29/01/2017,MASCULINO,45
Homicidios,30/01/2017,FEMENINO,1
Homicidios,30/01/2017,MASCULINO,21
Homicidios,31/01/2017,FEMENINO,4
Homicidios,31/01/2017,MASCULINO,23
Homicidios,01/02/2017,FEMENINO,4
Homicidios,01/02/2017,MASCULINO,18
Homicidios,02/02/2017,FEMENINO,4
Homicidios,02/02/2017,MASCULINO,31
Homicidios,03/02/2017,FEMENINO,4
