Year,Month,Value
1880,Jan,-0.73
1880,Feb,-0.33
1880,Mar,-0.4
1880,Apr,-0.58
1880,May,-0.28
1880,Jun,-0.4
1880,Jul,-0.4
1880,Aug,0.15
1880,Sep,-0.41
1880,Oct,-0.59
1880,Nov,-0.43
1880,Dec,-0.45
1881,Jan,-0.72
1881,Feb,-0.54
1881,Mar,-0.29
1881,Apr,-0.17
1881,May,0.06
1881,Jun,-1.02
1881,Jul,-0.45
1881,Aug,-0.17
1881,Sep,-0.26
1881,Oct,-0.4
1881,Nov,-0.45
1881,Dec,-0.06
1882,Jan,0.18
1882,Feb,-0.05
1882,Mar,-0.02
1882,Apr,-0.53
1882,May,-0.32
1882,Jun,-0.96
1882,Jul,-0.65
1882,Aug,-0.04
1882,Sep,-0.01
1882,Oct,-0.24
1882,Nov,-0.33
1882,Dec,-0.61
1883,Jan,-0.62
1883,Feb,-0.88
1883,Mar,-0.39
1883,Apr,-0.25
1883,May,-0.29
1883,Jun,0.52
1883,Jul,0.05
1883,Aug,-0.08
1883,Sep,-0.38
1883,Oct,-0.48
1883,Nov,-0.62
1883,Dec,-0.32
1884,Jan,-0.53
1884,Feb,-0.27
1884,Mar,-0.33
1884,Apr,-0.86
1884,May,-1.12
1884,Jun,-0.75
1884,Jul,-0.78
1884,Aug,0.23
1884,Sep,-0.29
1884,Oct,-0.69
1884,Nov,-0.74
1884,Dec,-0.92
1885,Jan,-0.86
1885,Feb,-0.73
1885,Mar,-0.85
1885,Apr,-0.8
1885,May,-0.43
1885,Jun,-0.87
1885,Jul,-0.56
1885,Aug,-0.09
1885,Sep,-0.08
1885,Oct,0.04
1885,Nov,-0.31
1885,Dec,0.08
1886,Jan,-0.7
1886,Feb,-0.76
1886,Mar,-0.62
1886,Apr,-0.56
1886,May,-0.48
1886,Jun,-0.75
1886,Jul,-0.33
1886,Aug,-0.66
1886,Sep,-0.36
1886,Oct,-0.79
1886,Nov,-0.43
1886,Dec,-0.69
1887,Jan,-0.81
1887,Feb,-1.21
1887,Mar,-0.53
1887,Apr,-0.78
1887,May,-0.8
1887,Jun,-0.61
1887,Jul,-0.35
1887,Aug,-0.18
1887,Sep,-0.55
1887,Oct,-0.49
1887,Nov,-0.85
1887,Dec,-0.59
1888,Jan,-0.71
1888,Feb,-0.78
1888,Mar,-0.87
1888,Apr,-0.27
1888,May,-0.73
1888,Jun,-0.51
1888,Jul,-0.32
1888,Aug,-0.3
1888,Sep,-0.37
1888,Oct,-0.25
1888,Nov,-0.04
1888,Dec,-0.15
1889,Jan,-0.26
1889,Feb,0.2
1889,Mar,0.1
1889,Apr,0.17
1889,May,0.14
1889,Jun,-0.27
1889,Jul,-0.37
1889,Aug,-0.56
1889,Sep,-0.34
1889,Oct,-0.15
1889,Nov,-0.4
1889,Dec,-0.37
1890,Jan,-0.57
1890,Feb,-0.59
1890,Mar,-0.57
1890,Apr,-0.47
1890,May,-0.87
1890,Jun,-0.54
1890,Jul,-0.52
1890,Aug,-0.53
1890,Sep,-0.29
1890,Oct,-0.23
1890,Nov,-0.74
1890,Dec,-0.5
1891,Jan,-0.91
1891,Feb,-1.01
1891,Mar,-0.48
1891,Apr,-0.62
1891,May,-0.45
1891,Jun,-0.53
1891,Jul,-0.67
1891,Aug,-0.54
1891,Sep,-0.44
1891,Oct,-0.5
1891,Nov,-0.48
1891,Dec,0.08
1892,Jan,-0.61
1892,Feb,-0.29
1892,Mar,-0.57
1892,Apr,-0.68
1892,May,-0.62
1892,Jun,-0.52
1892,Jul,-0.36
1892,Aug,-0.23
1892,Sep,-0.45
1892,Oct,-0.32
1892,Nov,-0.6
1892,Dec,-0.59
1893,Jan,-1.41
1893,Feb,-0.99
1893,Mar,-0.58
1893,Apr,-0.64
1893,May,-0.71
1893,Jun,-0.64
1893,Jul,-0.09
1893,Aug,-0.31
1893,Sep,-0.21
1893,Oct,-0.04
1893,Nov,-0.1
1893,Dec,-0.35
1894,Jan,-0.75
1894,Feb,-0.6
1894,Mar,-0.39
1894,Apr,-0.62
1894,May,-0.64
1894,Jun,-0.46
1894,Jul,-0.37
1894,Aug,-0.3
1894,Sep,-0.39
1894,Oct,-0.06
1894,Nov,-0.13
1894,Dec,-0.15
1895,Jan,-0.67
