Year,Total
1880,-0.404166667
1881,-0.3725
1882,-0.298333333
1883,-0.311666667
1884,-0.5875
1885,-0.455
1886,-0.594166667
1887,-0.645833333
1888,-0.441666667
1889,-0.175833333
1890,-0.535
1891,-0.545833333
1892,-0.486666667
1893,-0.505833333
1894,-0.405
1895,-0.326666667
1896,-0.284166667
1897,-0.188333333
1898,-0.360833333
1899,-0.2875
1900,-0.141666667
1901,-0.1225
1902,-0.340833333
1903,-0.4
1904,-0.515833333
1905,-0.338333333
1906,-0.2225
1907,-0.519166667
1908,-0.374166667
1909,-0.389166667
1910,-0.315833333
1911,-0.354166667
1912,-0.330833333
1913,-0.328333333
1914,-0.078333333
1915,-0.076666667
1916,-0.303333333
1917,-0.523333333
1918,-0.423333333
1919,-0.175833333
1920,-0.260833333
1921,-0.153333333
1922,-0.241666667
1923,-0.255833333
1924,-0.215
1925,-0.238333333
1926,-0.029166667
1927,-0.1675
1928,-0.094166667
1929,-0.329166667
1930,-0.149166667
1931,-0.0975
1932,-0.116666667
1933,-0.2525
1934,-0.104166667
1935,-0.235
1936,-0.104166667
1937,-0.014166667
1938,0.049166667
1939,-0.120833333
1940,0.071666667
1941,0.030833333
1942,0.046666667
1943,-0.013333333
1944,0.049166667
1945,-0.09
1946,-0.0775
1947,0.03
1948,-0.085833333
1949,-0.114166667
1950,-0.215
1951,-0.0725
1952,-0.0325
1953,0.048333333
1954,-0.144166667
1955,-0.138333333
1956,-0.241666667
1957,0.019166667
1958,0.07
1959,0.038333333
1960,-0.023333333
1961,0.084166667
1962,0.0225
1963,0.0225
1964,-0.248333333
1965,-0.164166667
1966,-0.0625
1967,-0.013333333
1968,-0.093333333
1969,0.015833333
1970,0.07
1971,-0.0625
1972,-0.014166667
1973,0.22
1974,-0.041666667
1975,0.016666667
1976,-0.171666667
1977,0.213333333
1978,0.138333333
1979,0.205
1980,0.345833333
1981,0.4425
1982,0.14
1983,0.389166667
1984,0.214166667
1985,0.191666667
1986,0.259166667
1987,0.420833333
1988,0.525833333
1989,0.383333333
1990,0.533333333
1991,0.530833333
1992,0.244166667
1993,0.2775
1994,0.388333333
1995,0.563333333
1996,0.489166667
1997,0.549166667
1998,0.844166667
1999,0.5925
2000,0.581666667
2001,0.676666667
2002,0.8
2003,0.776666667
2004,0.6825
2005,0.873333333
2006,0.77
2007,0.858333333
2008,0.650833333
2009,0.791666667
2010,0.920833333
2011,0.7825
2012,0.768333333
2013,0.814166667
2014,0.8725
2015,0.975
2016,1.243333333
2017,1.134166667
2018,1.065
